Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_BRK,OPP_ATL,OPP_BOS,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Kevin Durant,2020-12-22,25,22,5,3,3,1.0,0.438,0.5,0.577,30.7,11.1,1,1.0,127.0,83.0,19.1,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,5.0,3.0,3.0,1.0,0.438,0.5,1.0,30.7,127.0,83.0,19.1,0.0
Kevin Durant,2020-12-25,33,29,4,3,2,0.0,0.563,0.75,0.726,30.2,9.3,2,0.889,141.0,98.0,23.1,2,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,4.5,3.0,2.5,1.5,0.5005,0.625,0.9445,30.45,134.0,90.5,21.1,1.17035
Kevin Durant,2020-12-27,36,29,3,4,0,1.0,0.6,0.714,0.765,25.9,10.5,3,0.667,129.0,107.0,21.1,3,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.666666666666668,4.0,3.333333333333333,1.6666666666666667,2.0,0.5336666666666666,0.6546666666666666,0.852,28.933333333333334,132.33333333333334,96.0,21.1,1.01113
Kevin Durant,2020-12-28,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,3.0,2.5,1.25,1.5,0.40025,0.491,0.639,21.7,99.25,72.0,15.825,1.12533
Kevin Durant,2020-12-30,35,33,11,9,1,1.0,0.5,0.333,0.636,34.8,7.6,4,1.0,127.0,126.0,29.3,5,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6,4.6,3.8,1.2,2.0,0.4202,0.4594,0.7112,24.32,104.8,82.8,18.520000000000003,1.1846
Kevin Durant,2021-01-01,37,28,8,4,1,2.0,0.476,0.286,0.592,33.0,7.5,5,1.0,103.0,115.0,20.3,6,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,5.166666666666667,3.8333333333333335,1.1666666666666667,2.5,0.4295,0.4305,0.7593333333333333,25.766666666666666,104.5,88.16666666666667,18.816666666666663,1.30896
Kevin Durant,2021-01-03,38,28,11,7,0,0.0,0.533,0.286,0.69,29.3,2.5,6,0.833,115.0,115.0,21.7,7,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.142857142857142,6.0,4.285714285714286,1.0,3.0,0.4442857142857143,0.4098571428571428,0.7698571428571429,26.27142857142857,106.0,92.0,19.228571428571428,1.01893
Kevin Durant,2021-01-05,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.125,5.25,3.75,0.875,2.625,0.38875,0.3586249999999999,0.673625,22.9875,92.75,80.5,16.825,1.00461
Kevin Durant,2021-01-07,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.77777777777778,4.666666666666667,3.333333333333333,0.7777777777777778,2.333333333333333,0.3455555555555555,0.3187777777777777,0.5987777777777779,20.433333333333334,82.44444444444444,71.55555555555556,14.955555555555556,1.19141
Kevin Durant,2021-01-08,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.9,4.2,3.0,0.7,2.1,0.311,0.2869,0.5389,18.39,74.2,64.4,13.46,0.992608
Kevin Durant,2021-01-10,38,36,11,4,0,1.0,0.524,0.286,0.652,35.8,5.2,4,0.8,121.0,123.0,26.9,11,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3,4.8,3.1,0.4,2.4,0.3196,0.2654999999999999,0.5189,18.9,73.6,68.4,14.24,0.905968
Kevin Durant,2021-01-12,36,34,9,13,0,0.0,0.667,0.571,0.806,36.3,10.6,7,0.857,136.0,122.0,29.0,12,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,5.3,4.1,0.2,2.9,0.3299999999999999,0.2476,0.5157,19.51,73.1,70.8,14.830000000000002,0.948954
Kevin Durant,2021-01-13,30,26,3,6,0,2.0,0.556,0.6,0.658,31.4,12.9,1,0.75,137.0,120.0,22.1,13,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,5.3,4.3,0.2,2.7,0.3256,0.2362,0.524,20.06,73.9,72.1,14.93,1.15344
Kevin Durant,2021-01-16,40,42,4,5,2,2.0,0.615,0.625,0.745,38.0,8.9,6,1.0,121.0,111.0,32.3,14,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.7,5.7,4.8,0.4,3.3,0.3871,0.2987,0.624,23.86,86.0,83.2,18.160000000000004,1.21286
Kevin Durant,2021-01-18,36,30,9,6,0,2.0,0.476,0.5,0.601,34.1,3.5,3,0.889,119.0,115.0,22.2,15,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.4,5.5,4.5,0.3,3.2,0.3847,0.3154,0.6129,23.79,85.2,82.1,17.45,1.06837
