Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_PHO,OPP_ATL,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Kevin Durant,2024-10-23,44,25,7,0,3,1.0,0.471,0.4,0.596,29.5,-6.0,7,0.778,83.0,99.0,12.7,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,7.0,0.0,3.0,7.0,0.471,0.4,0.778,29.5,83.0,99.0,12.7,0.0
Kevin Durant,2024-10-25,39,30,4,6,0,1.0,0.647,0.667,0.747,27.0,3.4,3,0.857,132.0,129.0,24.0,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5,5.5,3.0,1.5,5.0,0.5589999999999999,0.5335000000000001,0.8175,28.25,107.5,114.0,18.35,1.02641
Kevin Durant,2024-10-26,39,31,9,2,1,1.0,0.476,0.5,0.621,29.5,8.3,1,0.778,119.0,102.0,24.3,3,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.666666666666668,6.666666666666667,2.6666666666666665,1.3333333333333333,3.6666666666666665,0.5313333333333333,0.5223333333333334,0.8043333333333335,28.666666666666668,111.33333333333331,110.0,20.33333333333333,1.03649
Kevin Durant,2024-10-28,38,30,8,4,0,4.0,0.55,0.333,0.65,29.5,9.3,2,0.857,126.0,106.0,25.2,4,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,7.0,3.0,1.0,3.25,0.536,0.475,0.8175,28.875,115.0,109.0,21.55,1.16367
Kevin Durant,2024-10-31,39,18,5,4,1,2.0,0.538,0.5,0.628,21.4,-3.1,4,0.667,102.0,123.0,13.6,5,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.8,6.6,3.2,1.0,3.4,0.5364,0.48,0.7874000000000001,27.380000000000003,112.4,111.8,19.96,1.06936
Kevin Durant,2024-11-02,38,21,9,2,0,0.0,0.438,0.375,0.577,23.0,-2.9,3,0.8,101.0,99.0,13.3,6,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25.83333333333333,7.0,3.0,0.8333333333333334,3.333333333333333,0.52,0.4624999999999999,0.7895,26.65,110.5,109.66666666666669,18.85,1.31257
Kevin Durant,2024-11-04,39,35,4,6,0,1.0,0.7,0.4,0.788,29.2,9.5,3,1.0,144.0,122.0,28.9,7,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.142857142857142,6.571428571428571,3.4285714285714284,0.7142857142857143,3.2857142857142856,0.5457142857142857,0.4535714285714286,0.8195714285714286,27.014285714285712,115.28571428571428,111.42857142857144,20.285714285714285,1.19532
Kevin Durant,2024-11-06,37,32,8,3,1,1.0,0.565,0.364,0.658,36.2,1.2,6,0.667,102.0,114.0,20.5,8,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.75,6.75,3.375,0.75,3.625,0.548125,0.442375,0.8005,28.1625,113.625,111.75,20.3125,1.11909
Kevin Durant,2024-11-08,37,26,5,4,1,2.0,0.571,0.5,0.761,22.8,12.4,1,1.0,156.0,122.0,24.7,9,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.55555555555556,6.555555555555555,3.4444444444444446,0.7777777777777778,3.333333333333333,0.5506666666666666,0.4487777777777777,0.8226666666666667,27.566666666666663,118.33333333333331,112.88888888888889,20.8,0.921359
Kevin Durant,2024-11-10,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.8,5.9,3.1,0.7,3.0,0.4955999999999999,0.4039,0.7404,24.81,106.5,101.6,18.72,1.07362
