Player,Date,TM,Home/Away,OPP,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc
LeBron James,2023-10-24,LAL,@,DEN,29:00,21,8,5,1,0,.625,.250,.639,24.8,11.7,0,.000,141,122,20.3
LeBron James,2023-10-26,LAL,,PHO,35:00,21,8,9,2,2,.500,.200,.599,27.4,10.0,5,.750,105,92,20.3
LeBron James,2023-10-29,LAL,@,SAC,39:05,27,15,8,0,0,.579,.375,.624,32.2,0.1,8,.333,94,114,17.8
LeBron James,2023-10-30,LAL,,ORL,32:47,19,3,4,3,1,.412,.333,.506,33.8,-1.9,5,.750,83,102,11.9
LeBron James,2023-11-01,LAL,,LAC,42:29,35,12,7,1,2,.684,.500,.748,28.5,10.5,4,.500,129,111,30.6
LeBron James,2023-11-04,LAL,@,ORL,35:13,24,9,5,3,0,.533,.400,.664,26.1,9.9,3,.857,125,111,22.5
LeBron James,2023-11-06,LAL,@,MIA,37:24,30,4,3,1,3,.565,.000,.606,36.7,-0.2,5,1.000,99,107,18.9
LeBron James,2023-11-08,LAL,@,HOU,27:12,18,6,2,0,0,.538,.000,.592,30.7,-5.1,3,.800,101,134,11.5
LeBron James,2023-11-10,LAL,@,PHO,36:23,32,11,6,1,1,.647,.750,.733,31.0,9.3,4,.636,128,116,28.1
LeBron James,2023-11-12,LAL,,POR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LeBron James,2023-11-14,LAL,,MEM,22:39,16,9,6,1,0,.545,.500,.673,30.7,2.3,4,.500,119,98,13.8
LeBron James,2023-11-15,LAL,,SAC,35:18,28,10,12,4,1,.600,.429,.756,29.2,17.4,6,.875,130,109,31.2
LeBron James,2023-11-17,LAL,@,POR,34:32,35,5,9,2,0,.591,.556,.710,35.4,17.6,3,.667,135,100,29.6
LeBron James,2023-11-19,LAL,,HOU,39:35,37,6,8,3,0,.737,.400,.806,26.8,21.1,2,.778,154,104,37.3
LeBron James,2023-11-21,LAL,,UTA,24:01,17,7,9,0,0,.600,.600,.781,23.2,14.0,2,1.000,149,99,19.2
LeBron James,2023-11-22,LAL,,DAL,36:01,26,9,7,0,0,.474,.444,.589,32.3,8.8,3,.571,114,112,20.5
