Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_MIN,OPP_ATL,OPP_BOS,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Julius Randle,34,16,9,4,0,0.0,0.5,0.333,0.612,18.7,3.8,2,0.714,127.0,116.0,13.7,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,9.0,4.0,0.0,2.0,0.5,0.333,0.714,18.7,127.0,116.0,13.7,0.0,0,2024,10,22,1,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
Julius Randle,35,33,5,4,0,0.0,0.765,0.833,0.901,26.6,13.4,3,0.667,147.0,116.0,26.0,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.5,7.0,4.0,0.0,2.5,0.6325000000000001,0.583,0.6905,22.65,137.0,116.0,19.85,0.0,1,2024,10,24,3,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
Julius Randle,36,24,9,5,0,0.0,0.563,0.25,0.629,28.8,-0.4,4,0.714,115.0,107.0,18.2,3,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.33333333333333,7.666666666666667,4.333333333333333,0.0,3.0,0.6093333333333333,0.472,0.6983333333333333,24.7,129.66666666666666,113.0,19.3,0.999883,2,2024,10,26,5,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
Julius Randle,35,20,7,7,2,0.0,0.538,1.0,0.678,22.4,6.9,3,0.75,131.0,121.0,18.5,4,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.25,7.5,5.0,0.5,3.0,0.5915,0.604,0.7112499999999999,24.125,130.0,115.0,19.1,0.972123,3,2024,10,29,1,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
Julius Randle,37,23,6,7,0,0.0,0.615,0.4,0.757,22.1,3.4,3,1.0,139.0,123.0,20.0,5,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2,7.2,5.4,0.4,3.0,0.5962,0.5631999999999999,0.7689999999999999,23.72,131.8,116.6,19.28,1.27435,4,2024,11,1,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
Julius Randle,30,21,5,2,1,0.0,0.533,0.0,0.595,32.0,-1.6,3,0.833,106.0,119.0,13.4,6,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.83333333333333,6.833333333333333,4.833333333333333,0.5,3.0,0.5856666666666667,0.4693333333333333,0.7796666666666666,25.1,127.5,117.0,18.3,0.858746,5,2024,11,2,5,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
Julius Randle,25,13,4,4,2,0.0,0.4,0.25,0.514,24.7,4.3,1,0.667,125.0,98.0,12.6,7,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.428571428571427,6.428571428571429,4.714285714285714,0.7142857142857143,2.7142857142857144,0.5591428571428572,0.438,0.7635714285714286,25.042857142857144,127.14285714285714,114.28571428571428,17.485714285714288,1.11016,6,2024,11,4,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
Julius Randle,35,22,10,3,1,0.0,0.533,0.25,0.64,25.1,-2.6,4,1.0,118.0,121.0,17.2,8,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,6.875,4.5,0.75,2.875,0.555875,0.4145,0.793125,25.05,126.0,115.125,17.45,1.10749,7,2024,11,7,3,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419
Julius Randle,32,22,6,4,0,1.0,0.444,0.5,0.557,26.2,1.6,2,0.75,120.0,102.0,16.3,9,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.55555555555556,6.777777777777778,4.444444444444445,0.6666666666666666,2.7777777777777777,0.5434444444444444,0.424,0.7883333333333333,25.177777777777777,125.33333333333331,113.66666666666669,17.322222222222223,1.2356,8,2024,11,8,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
Julius Randle,36,17,6,6,1,0.0,0.375,0.167,0.479,25.7,-2.1,4,1.0,98.0,101.0,10.4,10,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.1,6.7,4.6,0.7,2.9,0.5266,0.3983,0.8095000000000001,25.23,122.6,112.4,16.630000000000003,1.30309,9,2024,11,10,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
