Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_CLE,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Lauri Markkanen,2021-10-20,31,10,9,2,1,0.0,0.286,0.286,0.357,20.6,-8.5,1,0.0,80.0,129.0,6.7,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,2.0,1.0,1.0,0.286,0.286,0.0,20.6,80.0,129.0,6.7,0.0
Lauri Markkanen,2021-10-22,34,13,5,2,0,0.0,0.455,0.4,0.547,15.0,-2.8,0,0.5,117.0,124.0,9.8,2,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,7.0,2.0,0.5,0.5,0.3705,0.3429999999999999,0.25,17.8,98.5,126.5,8.25,1.07857
Lauri Markkanen,2021-10-23,32,12,8,2,1,2.0,0.2,0.167,0.34,24.1,0.2,0,0.833,90.0,98.0,9.7,3,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.666666666666666,7.333333333333333,2.0,0.6666666666666666,0.3333333333333333,0.3136666666666667,0.2843333333333333,0.4443333333333333,19.9,95.66666666666669,117.0,8.733333333333333,0.830747
Lauri Markkanen,2021-10-25,27,12,4,2,4,1.0,0.333,0.25,0.466,23.1,8.0,1,1.0,94.0,78.0,11.1,4,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.75,6.5,2.0,1.5,0.5,0.3185,0.27575,0.58325,20.700000000000003,95.25,107.25,9.325,0.930007
Lauri Markkanen,2021-10-27,29,7,9,1,1,0.0,0.286,0.0,0.421,16.8,-1.6,3,1.0,76.0,81.0,4.3,5,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,7.0,1.8,1.4,1.0,0.312,0.2206,0.6666000000000001,19.92,91.4,102.0,8.32,0.745961
Lauri Markkanen,2021-10-29,32,17,3,1,0,0.0,0.5,0.375,0.607,18.8,-1.0,0,0.0,127.0,126.0,10.4,6,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.833333333333334,6.333333333333333,1.6666666666666667,1.1666666666666667,0.8333333333333334,0.3433333333333333,0.2463333333333333,0.5555,19.73333333333333,97.33333333333331,106.0,8.666666666666666,1.16353
Lauri Markkanen,2021-10-30,25,11,1,2,1,2.0,0.6,0.5,0.87,10.7,13.1,0,1.0,180.0,98.0,12.0,7,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.714285714285714,5.571428571428571,1.7142857142857142,1.1428571428571428,0.7142857142857143,0.38,0.2825714285714286,0.619,18.442857142857143,109.14285714285714,104.85714285714286,9.142857142857142,1.06011
Lauri Markkanen,2021-11-01,35,21,8,0,2,2.0,0.368,0.25,0.485,26.4,0.0,2,0.833,108.0,109.0,14.3,8,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.875,5.875,1.5,1.25,0.875,0.3785,0.2784999999999999,0.64575,19.4375,109.0,105.375,9.7875,1.14604
Lauri Markkanen,2021-11-03,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.444444444444445,5.222222222222222,1.3333333333333333,1.1111111111111112,0.7777777777777778,0.3364444444444444,0.2475555555555555,0.5740000000000001,17.27777777777778,96.88888888888889,93.66666666666669,8.7,1.19482
Lauri Markkanen,2021-11-05,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.3,4.7,1.2,1.0,0.7,0.3028,0.2227999999999999,0.5166000000000001,15.55,87.2,84.3,7.83,1.02696
