Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_UTA,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Lauri Markkanen,2023-10-25,32,19,10,1,2,0.0,0.4,0.333,0.539,23.9,2.0,1,0.833,121.0,120.0,15.6,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,10.0,1.0,2.0,1.0,0.4,0.333,0.833,23.9,121.0,120.0,15.6,0.0
Lauri Markkanen,2023-10-27,35,35,12,3,0,0.0,0.522,0.385,0.683,32.9,10.9,3,1.0,137.0,126.0,27.6,2,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,11.0,2.0,1.0,2.0,0.461,0.359,0.9165,28.4,129.0,123.0,21.6,1.07937
Lauri Markkanen,2023-10-28,28,19,3,0,1,2.0,0.538,0.714,0.731,20.8,7.7,1,0.0,130.0,124.0,14.6,3,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,24.33333333333333,8.333333333333334,1.3333333333333333,1.0,1.6666666666666667,0.4866666666666666,0.4773333333333333,0.611,25.866666666666664,129.33333333333334,123.33333333333331,19.26666666666667,0.944733
Lauri Markkanen,2023-10-30,38,27,14,5,0,1.0,0.417,0.385,0.543,29.4,9.8,2,1.0,117.0,114.0,21.8,4,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,9.75,2.25,0.75,1.75,0.46925,0.45425,0.70825,26.75,126.25,121.0,19.9,0.956095
Lauri Markkanen,2023-11-01,28,19,11,1,1,0.0,0.545,0.667,0.771,18.1,6.3,0,1.0,159.0,95.0,17.1,5,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.8,10.0,2.0,0.8,1.4,0.4844,0.4968,0.7666000000000001,25.02,132.8,115.8,19.34,1.2025
Lauri Markkanen,2023-11-02,33,22,7,1,2,0.0,0.529,0.4,0.615,25.1,1.4,3,0.0,102.0,108.0,13.5,6,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,9.5,1.8333333333333333,1.0,1.6666666666666667,0.4918333333333333,0.4806666666666666,0.6388333333333334,25.03333333333333,127.66666666666669,114.5,18.366666666666667,1.11007
Lauri Markkanen,2023-11-04,35,22,8,1,0,1.0,0.35,0.364,0.495,28.7,-0.1,2,0.8,107.0,132.0,12.2,7,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.285714285714285,9.285714285714286,1.7142857142857142,0.8571428571428571,1.7142857142857142,0.4715714285714286,0.464,0.6618571428571428,25.557142857142857,124.71428571428572,117.0,17.485714285714288,0.861673
Lauri Markkanen,2023-11-06,34,29,5,3,0,1.0,0.533,0.417,0.783,23.6,10.6,1,1.0,165.0,135.0,24.6,8,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,8.75,1.875,0.75,1.625,0.47925,0.458125,0.704125,25.3125,129.75,119.25,18.375,1.25398
Lauri Markkanen,2023-11-08,35,24,9,0,1,1.0,0.5,0.6,0.644,21.4,4.1,1,0.833,138.0,127.0,20.6,9,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,8.777777777777779,1.6666666666666667,0.7777777777777778,1.5555555555555556,0.4815555555555556,0.4738888888888888,0.7184444444444444,24.87777777777778,130.66666666666666,120.11111111111111,18.62222222222222,1.01289
Lauri Markkanen,2023-11-10,37,26,7,1,2,2.0,0.615,0.444,0.831,22.3,2.1,3,1.0,136.0,121.0,22.1,10,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.2,8.6,1.6,0.9,1.7,0.4949,0.4709,0.7466,24.62,131.2,120.2,18.97,1.046
