Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_UTA,OPP_ATL,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Lauri Markkanen,2024-10-23,35,35,9,2,0,0.0,0.6,0.571,0.827,26.4,11.2,2,0.929,162.0,124.0,29.4,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,9.0,2.0,0.0,2.0,0.6,0.571,0.929,26.4,162.0,124.0,29.4,0.0
Lauri Markkanen,2024-10-25,27,13,8,2,1,0.0,0.235,0.2,0.324,31.5,-6.2,2,0.571,72.0,119.0,5.1,2,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,8.5,2.0,0.5,2.0,0.4175,0.3854999999999999,0.75,28.95,117.0,121.5,17.25,0.939052
Lauri Markkanen,2024-10-28,35,17,9,2,0,0.0,0.267,0.6,0.482,21.4,-0.3,1,1.0,113.0,114.0,12.4,3,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.666666666666668,8.666666666666666,2.0,0.3333333333333333,1.6666666666666667,0.3673333333333333,0.457,0.8333333333333334,26.433333333333334,115.66666666666669,119.0,15.633333333333333,1.13929
Lauri Markkanen,2024-10-29,17,7,3,1,0,0.0,0.6,0.333,0.7,17.2,-4.5,2,0.0,97.0,119.0,4.3,4,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,7.25,1.75,0.25,1.75,0.4255,0.426,0.625,24.125,111.0,119.0,12.8,0.964923
Lauri Markkanen,2024-10-31,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.4,5.8,1.4,0.2,1.4,0.3404,0.3408,0.5,19.3,88.8,95.2,10.239999999999998,1.03973
Lauri Markkanen,2024-11-02,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.833333333333333,1.1666666666666667,0.1666666666666666,1.1666666666666667,0.2836666666666667,0.284,0.4166666666666667,16.083333333333332,74.0,79.33333333333333,8.533333333333333,1.16481
Lauri Markkanen,2024-11-04,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.285714285714286,4.142857142857143,1.0,0.1428571428571428,1.0,0.2431428571428571,0.2434285714285714,0.3571428571428571,13.785714285714286,63.42857142857143,68.0,7.314285714285714,1.15621
Lauri Markkanen,2024-11-07,29,8,7,4,2,0.0,0.3,0.333,0.4,18.9,-1.9,2,0.0,92.0,123.0,7.5,8,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.5,1.375,0.375,1.125,0.25025,0.254625,0.3125,14.425,67.0,74.875,7.337499999999999,1.14117
Lauri Markkanen,2024-11-09,36,20,6,4,2,0.0,0.333,0.429,0.54,22.5,2.1,1,0.875,121.0,107.0,16.7,9,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.11111111111111,4.666666666666667,1.6666666666666667,0.5555555555555556,1.1111111111111112,0.2594444444444444,0.274,0.375,15.322222222222225,73.0,78.44444444444444,8.377777777777778,1.09948
Lauri Markkanen,2024-11-12,31,17,2,5,0,0.0,0.538,0.4,0.612,20.9,-0.8,1,0.5,128.0,136.0,13.4,10,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.7,4.4,2.0,0.5,1.1,0.2873,0.2866,0.3875,15.88,78.5,84.2,8.879999999999999,1.08477
