Player,Date,TM,Home/Away,OPP,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc
Victor Wembanyama,2024-10-24,SAS,@,DAL,28:28,17,9,1,0,1,.278,.125,.412,36.0,-11.5,4,1.000,80,117,6.9
Victor Wembanyama,2024-10-26,SAS,,HOU,30:12,29,7,1,0,3,.588,.400,.707,34.5,8.0,3,.875,126,105,21.8
Victor Wembanyama,2024-10-28,SAS,,HOU,35:13,14,20,5,0,4,.429,.200,.470,22.7,3.7,4,.500,98,101,15.3
Victor Wembanyama,2024-10-30,SAS,@,OKC,27:15,6,8,2,0,3,.200,.000,.444,16.8,-4.8,4,1.000,72,100,5.2
Victor Wembanyama,2024-10-31,SAS,@,UTA,33:33,25,9,7,5,5,.450,.308,.586,30.8,20.8,3,1.000,115,72,27.3
Victor Wembanyama,2024-11-02,SAS,,MIN,30:59,17,6,3,1,2,.467,.143,.535,28.3,-3.6,3,1.000,98,103,11.4
Victor Wembanyama,2024-11-04,SAS,@,LAC,34:06,24,13,3,3,9,.409,.222,.505,33.5,12.1,2,1.000,109,97,25.1
Victor Wembanyama,2024-11-06,SAS,@,HOU,24:41,15,6,0,1,3,.429,.167,.504,33.4,-5.8,4,1.000,80,117,8.9
Victor Wembanyama,2024-11-07,SAS,,POR,32:21,12,8,2,4,3,.308,.333,.419,25.7,-4.6,4,.667,81,97,10.8
Victor Wembanyama,2024-11-09,SAS,,UTA,32:41,24,16,0,0,7,.533,.667,.756,28.3,6.3,6,1.000,97,93,20.4
Victor Wembanyama,2024-11-11,SAS,,SAC,34:02,34,14,6,1,3,.591,.500,.743,34.3,20.7,3,1.000,140,92,33.5
Victor Wembanyama,2024-11-13,SAS,,WAS,32:27,50,6,2,1,3,.621,.500,.758,43.7,15.7,1,.667,140,119,40.2
Victor Wembanyama,2024-11-15,SAS,,LAL,34:00,28,14,5,1,2,.480,.308,.560,39.2,3.2,5,,105,118,21.6
Victor Wembanyama,2024-11-16,SAS,@,DAL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Victor Wembanyama,2024-11-19,SAS,,OKC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Victor Wembanyama,2024-11-21,SAS,,UTA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
