Player,Date,TM,Home/Away,OPP,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc
Victor Wembanyama,2023-10-25,SAS,,DAL,23:19,15,5,2,2,1,.667,.600,.794,25.3,0.2,5,.000,87,110,9.3
Victor Wembanyama,2023-10-27,SAS,,HOU,30:59,21,12,1,3,3,.368,.000,.466,36.5,-3.6,4,.875,95,98,16.7
Victor Wembanyama,2023-10-29,SAS,@,LAC,26:16,11,5,2,1,1,.400,.000,.435,28.8,-8.8,5,.500,67,117,4.0
Victor Wembanyama,2023-10-31,SAS,@,PHO,28:13,18,8,1,0,4,.500,.333,.634,29.0,-3.5,5,.800,99,108,12.5
Victor Wembanyama,2023-11-02,SAS,@,PHO,34:21,38,10,2,1,2,.577,.500,.663,38.3,5.2,2,.833,127,118,29.8
Victor Wembanyama,2023-11-05,SAS,,TOR,37:54,20,9,4,1,5,.438,.286,.549,23.8,4.6,2,.800,112,108,19.6
Victor Wembanyama,2023-11-06,SAS,@,IND,21:17,13,10,0,1,2,.250,.400,.444,31.7,-6.1,2,.833,86,131,8.8
Victor Wembanyama,2023-11-08,SAS,@,NYK,30:11,14,9,2,0,1,.286,.000,.421,28.7,-10.9,3,1.000,91,132,8.4
Victor Wembanyama,2023-11-10,SAS,,MIN,34:54,29,9,4,1,4,.571,.429,.637,31.0,8.4,3,.500,111,107,23.0
Victor Wembanyama,2023-11-12,SAS,,MIA,34:24,18,11,7,1,1,.364,.222,.409,35.7,-8.8,7,,78,117,7.9
Victor Wembanyama,2023-11-14,SAS,@,OKC,28:20,8,14,2,0,2,.267,.000,.267,28.0,-13.2,5,,52,113,1.5
Victor Wembanyama,2023-11-17,SAS,,SAC,30:28,27,9,0,2,0,.462,.250,.511,40.9,-8.5,4,1.000,82,118,13.5
Victor Wembanyama,2023-11-18,SAS,,MEM,31:07,19,13,4,1,8,.353,.333,.484,30.5,6.3,2,.833,110,106,20.0
Victor Wembanyama,2023-11-20,SAS,,LAC,26:33,9,3,4,0,2,.333,.000,.362,21.7,-4.4,1,1.000,84,125,5.9
Victor Wembanyama,2023-11-22,SAS,,LAC,32:47,22,15,3,1,3,.538,.500,.684,23.2,11.2,2,1.000,129,98,23.4
Victor Wembanyama,2023-11-24,SAS,@,GSW,35:09,22,9,4,1,2,.444,.167,.545,28.8,-1.7,6,1.000,96,108,14.5
Victor Wembanyama,2023-11-26,SAS,@,DEN,24:56,22,11,2,6,4,.412,.400,.548,37.2,11.4,3,.857,107,94,23.0
Victor Wembanyama,2023-11-30,SAS,,ATL,29:17,21,12,2,2,4,.563,.200,.622,25.8,4.4,2,1.000,120,111,21.6
Victor Wembanyama,2023-12-01,SAS,@,NOP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Victor Wembanyama,2023-12-06,SAS,@,MIN,32:25,12,10,1,1,1,.308,.000,.384,22.0,-4.3,2,.667,81,100,7.9
Victor Wembanyama,2023-12-08,SAS,,CHI,31:49,21,20,4,1,4,.400,.000,.464,34.4,1.1,1,.833,116,111,23.4
Victor Wembanyama,2023-12-11,SAS,@,HOU,33:00,15,18,3,0,5,.467,.167,.486,26.2,3.3,5,.000,75,76,12.5
Victor Wembanyama,2023-12-13,SAS,,LAL,32:30,30,13,2,3,6,.524,.800,.623,35.5,8.1,5,.571,106,92,25.2
Victor Wembanyama,2023-12-15,SAS,,LAL,30:50,13,15,5,2,2,.385,.500,.454,22.8,0.0,2,.667,106,104,14.9
Victor Wembanyama,2023-12-17,SAS,,NOP,31:07,17,13,4,1,4,.462,.333,.576,23.6,2.7,3,.750,103,125,17.0
Victor Wembanyama,2023-12-19,SAS,@,MIL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Victor Wembanyama,2023-12-21,SAS,@,CHI,22:13,7,5,5,2,3,.375,.000,.376,22.8,5.0,2,.333,83,100,8.9
Victor Wembanyama,2023-12-23,SAS,@,DAL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Victor Wembanyama,2023-12-26,SAS,,UTA,24:26,15,7,4,1,5,.400,.250,.460,34.3,-1.8,4,.667,86,116,12.3
Victor Wembanyama,2023-12-28,SAS,@,POR,24:21,30,6,6,0,7,.643,.500,.815,35.3,32.7,1,1.000,159,98,33.7
Victor Wembanyama,2023-12-29,SAS,@,POR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Victor Wembanyama,2023-12-31,SAS,,BOS,23:42,21,7,3,0,1,.500,.375,.622,36.2,8.1,3,1.000,106,132,15.7
Victor Wembanyama,2024-01-02,SAS,@,MEM,26:04,20,7,1,0,4,.500,.400,.563,31.7,9.7,1,.500,102,99,15.8
Victor Wembanyama,2024-01-04,SAS,,MIL,26:11,27,9,1,1,5,.556,.250,.654,41.4,2.0,5,.833,106,109,20.1
Victor Wembanyama,2024-01-07,SAS,@,CLE,24:37,24,10,3,1,5,.462,.400,.673,38.1,13.8,3,.909,123,101,22.3
Victor Wembanyama,2024-01-10,SAS,@,DET,21:02,16,12,10,0,0,.375,.000,.440,37.5,11.9,0,.800,123,106,18.2
Victor Wembanyama,2024-01-12,SAS,,CHO,19:41,26,11,1,0,2,.643,.667,.781,41.3,12.0,3,1.000,134,86,22.6
Victor Wembanyama,2024-01-13,SAS,,CHI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Victor Wembanyama,2024-01-15,SAS,@,ATL,27:05,26,13,2,2,5,.667,.200,.705,31.8,18.9,3,1.000,114,84,26.0
Victor Wembanyama,2024-01-17,SAS,@,BOS,26:36,27,5,1,0,1,.526,.333,.624,43.7,3.2,5,.833,99,124,15.2
Victor Wembanyama,2024-01-19,SAS,@,CHO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Victor Wembanyama,2024-01-20,SAS,@,WAS,27:45,24,8,4,0,6,.476,.400,.527,40.4,-3.5,6,.500,89,110,15.1
Victor Wembanyama,2024-01-22,SAS,@,PHI,28:21,33,7,2,0,2,.526,.400,.680,37.9,10.2,1,.917,145,136,26.4
Victor Wembanyama,2024-01-24,SAS,,OKC,27:46,24,12,4,1,4,.500,.000,.558,36.9,4.0,3,.750,116,130,23.0
Victor Wembanyama,2024-01-26,SAS,,POR,28:36,23,12,4,2,2,.389,.429,.557,38.5,2.5,7,1.000,97,91,16.8
Victor Wembanyama,2024-01-27,SAS,,MIN,29:45,23,10,6,2,2,.529,.500,.599,38.5,4.1,6,.400,98,111,16.9
