Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,PTS_rolling_avg,TM_ATL,TM_BOS,TM_BRK,TM_CHI,TM_CHO,TM_CLE,TM_DAL,TM_DEN,TM_DET,TM_GSW,TM_HOU,TM_IND,TM_LAC,TM_LAL,TM_MEM,TM_MIA,TM_MIL,TM_MIN,TM_NOP,TM_NYK,TM_OKC,TM_ORL,TM_PHI,TM_PHO,TM_POR,TM_SAC,TM_SAS,TM_TOR,TM_UTA,TM_WAS,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
CJ McCollum,2022-10-19,31,21,4,6,3,0.0,0.438,0.333,0.577,23.7,9.5,1,0.8,137.0,101.0,19.2,1,0,0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,3.0,1.0,0.438,0.333,0.8,23.7,137.0,101.0,19.2,0.0
CJ McCollum,2022-10-21,32,21,6,2,1,0.0,0.529,0.333,0.602,25.9,-2.1,3,1.0,114.0,113.0,13.5,2,0,0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,2.0,2.0,0.4835,0.333,0.9,24.8,125.5,107.0,16.35,0.944882
CJ McCollum,2022-10-23,41,28,4,12,1,0.0,0.48,0.25,0.541,28.2,7.7,2,1.0,123.0,117.0,23.1,3,1,0,23.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.666666666666667,6.666666666666667,1.6666666666666667,2.0,0.4823333333333333,0.3053333333333333,0.9333333333333332,25.933333333333334,124.66666666666669,110.33333333333331,18.6,1.08668
CJ McCollum,2022-10-25,36,14,0,11,1,1.0,0.3,0.2,0.342,32.4,-8.1,3,1.0,89.0,128.0,8.4,4,1,0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,7.75,1.5,2.25,0.4367499999999999,0.279,0.95,27.55,115.75,114.75,16.05,0.916468
CJ McCollum,2022-10-28,35,17,2,9,1,0.0,0.316,0.0,0.393,29.0,-5.1,1,0.833,101.0,134.0,11.8,5,0,0,20.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,8.0,1.4,2.0,0.4125999999999999,0.2232,0.9266,27.84,112.8,118.6,15.2,0.984875
CJ McCollum,2022-10-30,32,22,5,3,1,0.0,0.474,0.5,0.579,27.0,3.7,0,0.0,124.0,98.0,16.1,6,0,1,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,7.166666666666667,1.3333333333333333,1.6666666666666667,0.4228333333333333,0.2693333333333333,0.7721666666666667,27.7,114.66666666666669,115.16666666666669,15.35,1.18982
CJ McCollum,2022-11-02,41,22,9,8,1,2.0,0.37,0.167,0.401,29.7,0.1,1,1.0,91.0,106.0,16.4,7,0,0,20.714285714285715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.285714285714286,7.285714285714286,1.2857142857142858,1.5714285714285714,0.4152857142857143,0.2547142857142857,0.8047142857142857,27.985714285714288,111.28571428571428,113.85714285714286,15.5,1.08884
CJ McCollum,2022-11-04,34,20,8,5,2,0.0,0.412,0.5,0.533,27.9,2.3,3,0.75,109.0,105.0,15.8,8,1,0,20.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75,7.0,1.375,1.75,0.414875,0.285375,0.797875,27.975,111.0,112.75,15.5375,1.19829
CJ McCollum,2022-11-05,41,29,10,0,1,1.0,0.522,0.444,0.619,23.9,4.9,2,1.0,121.0,110.0,19.6,9,0,0,21.55555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.333333333333333,6.222222222222222,1.3333333333333333,1.7777777777777777,0.4267777777777778,0.303,0.8203333333333334,27.522222222222226,112.11111111111111,112.44444444444444,15.988888888888887,0.937944
CJ McCollum,2022-11-07,36,9,5,7,1,0.0,0.273,0.4,0.379,17.4,-8.5,3,0.5,92.0,131.0,6.1,10,0,0,20.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,6.3,1.3,1.9,0.4114,0.3127,0.7883,26.51,110.1,114.3,15.0,0.946124
