Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_NOP,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIN,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
CJ McCollum,2024-10-23,30,23,2,5,1,1.0,0.474,0.455,0.605,25.8,6.2,0,0.0,124.0,108.0,18.7,1,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,1.0,0.0,0.474,0.455,0.0,25.8,124.0,108.0,18.7,0.0
CJ McCollum,2024-10-25,40,20,2,3,4,1.0,0.471,0.444,0.588,19.1,3.9,1,0.0,113.0,99.0,16.9,2,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.5,2.0,4.0,2.5,0.5,0.4725,0.4495,0.0,22.450000000000003,118.5,103.5,17.799999999999997,1.26411
CJ McCollum,2024-10-27,36,27,4,3,4,0.0,0.476,0.3,0.571,30.9,3.2,3,0.667,110.0,122.0,19.0,3,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23.33333333333333,2.6666666666666665,3.6666666666666665,3.0,1.3333333333333333,0.4736666666666666,0.3996666666666666,0.2223333333333333,25.266666666666666,115.66666666666669,109.66666666666669,18.2,0.984875
CJ McCollum,2024-10-29,31,5,6,5,0,2.0,0.25,0.25,0.313,17.0,-9.5,4,0.0,71.0,127.0,2.9,4,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,3.5,4.0,2.25,2.0,0.4177499999999999,0.36225,0.16675,23.2,104.5,114.0,14.375,1.06477
CJ McCollum,2024-10-30,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.8,3.2,1.8,1.6,0.3341999999999999,0.2898,0.1334,18.56,83.6,91.2,11.5,1.05696
CJ McCollum,2024-11-01,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,2.333333333333333,2.6666666666666665,1.5,1.3333333333333333,0.2784999999999999,0.2415,0.1111666666666666,15.466666666666669,69.66666666666667,76.0,9.583333333333334,1.10866
CJ McCollum,2024-11-03,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.714285714285714,2.0,2.2857142857142856,1.2857142857142858,1.1428571428571428,0.2387142857142856,0.207,0.0952857142857142,13.257142857142856,59.71428571428572,65.14285714285714,8.214285714285714,1.15602
CJ McCollum,2024-11-04,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.375,1.75,2.0,1.125,1.0,0.2088749999999999,0.181125,0.083375,11.6,52.25,57.0,7.1875,0.968614
CJ McCollum,2024-11-06,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333334,1.5555555555555556,1.7777777777777777,1.0,0.8888888888888888,0.1856666666666666,0.161,0.0741111111111111,10.31111111111111,46.44444444444444,50.66666666666666,6.388888888888889,1.1215
CJ McCollum,2024-11-08,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,1.4,1.6,0.9,0.8,0.1670999999999999,0.1449,0.0667,9.28,41.8,45.6,5.75,1.20593
