Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_LAL,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
LeBron James,37,34,11,5,1,1.0,0.565,0.455,0.663,32.2,10.4,4,0.5,117.0,105.0,24.8,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,11.0,5.0,1.0,4.0,0.565,0.455,0.5,32.2,117.0,105.0,24.8,0.0,0,2021,10,19,1,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
LeBron James,37,25,2,5,2,0.0,0.444,0.556,0.633,28.3,4.3,5,1.0,104.0,115.0,15.1,2,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5,6.5,5.0,1.5,4.5,0.5045,0.5055000000000001,0.75,30.25,110.5,110.0,19.95,1.08723,1,2021,10,22,4,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
LeBron James,40,19,6,6,2,2.0,0.368,0.444,0.478,24.6,-1.8,3,0.5,97.0,116.0,14.1,3,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,6.333333333333333,5.333333333333333,1.6666666666666667,4.0,0.459,0.485,0.6666666666666666,28.36666666666667,106.0,112.0,18.0,1.14029,2,2021,10,24,6,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
LeBron James,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.5,4.75,4.0,1.25,3.0,0.34425,0.36375,0.5,21.275,79.5,84.0,13.5,1.13455,3,2021,10,26,1,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
LeBron James,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,3.8,3.2,1.0,2.4,0.2754,0.291,0.4,17.020000000000003,63.6,67.2,10.8,1.06734,4,2021,10,27,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
LeBron James,38,26,3,8,3,1.0,0.455,0.1,0.537,36.4,1.2,7,1.0,105.0,108.0,17.8,6,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.333333333333332,3.6666666666666665,4.0,1.3333333333333333,3.1666666666666665,0.3053333333333333,0.2591666666666667,0.5,20.25,70.5,74.0,11.966666666666669,0.79397,5,2021,10,29,4,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
LeBron James,35,15,7,8,4,1.0,0.316,0.0,0.361,27.8,5.5,2,0.75,85.0,79.0,14.5,7,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,4.142857142857143,4.571428571428571,1.7142857142857142,3.0,0.3068571428571429,0.2221428571428571,0.5357142857142857,21.32857142857143,72.57142857142857,74.71428571428571,12.328571428571427,1.1446,6,2021,10,31,6,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
LeBron James,36,30,4,10,2,0.0,0.619,0.5,0.686,28.8,9.7,4,1.0,128.0,110.0,25.5,8,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.625,4.125,5.25,1.75,3.125,0.345875,0.256875,0.59375,22.2625,79.5,79.125,13.975,0.892228,7,2021,11,2,1,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336
LeBron James,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.555555555555557,3.6666666666666665,4.666666666666667,1.5555555555555556,2.7777777777777777,0.3074444444444444,0.2283333333333333,0.5277777777777778,19.788888888888888,70.66666666666667,70.33333333333333,12.422222222222222,0.962918,8,2021,11,4,3,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419
LeBron James,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.9,3.3,4.2,1.4,2.5,0.2767,0.2055,0.475,17.81,63.6,63.3,11.18,1.09349,9,2021,11,6,5,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
