Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_CLE,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Evan Mobley,27,25,9,3,2,3.0,0.643,0.5,0.751,28.2,16.0,1,1.0,159.0,98.0,27.5,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0,9.0,3.0,2.0,1.0,0.643,0.5,1.0,28.2,159.0,98.0,27.5,0.0,0,2024,10,23,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
Evan Mobley,32,16,6,3,4,2.0,0.5,0.667,0.621,24.3,5.6,4,1.0,98.0,90.0,15.3,2,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5,7.5,3.0,3.0,2.5,0.5715,0.5835,1.0,26.25,128.5,94.0,21.4,1.11556,1,2024,10,25,4,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
Evan Mobley,32,13,13,4,0,2.0,0.308,0.0,0.404,22.4,-8.4,2,0.714,97.0,106.0,9.6,3,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,9.333333333333334,3.333333333333333,2.0,2.333333333333333,0.4836666666666667,0.389,0.9046666666666666,24.96666666666667,118.0,98.0,17.466666666666665,1.14353,2,2024,10,26,5,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
Evan Mobley,36,17,8,1,0,3.0,0.583,1.0,0.66,17.5,2.2,1,1.0,125.0,106.0,14.0,4,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.75,9.0,2.75,1.5,2.0,0.5085,0.54175,0.9285,23.1,119.75,100.0,16.6,0.988526,3,2024,10,28,0,-0.8660254037844386,0.5000000000000001,0.0,1.0
Evan Mobley,19,25,5,0,0,0.0,0.75,0.0,0.76,44.2,-2.0,3,1.0,116.0,110.0,15.5,5,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,8.2,2.2,1.2,2.2,0.5568,0.4333999999999999,0.9428,27.32,119.0,102.0,16.380000000000003,1.07894,4,2024,10,30,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
Evan Mobley,30,14,12,3,1,1.0,0.545,0.333,0.612,21.4,2.8,3,1.0,105.0,100.0,13.1,6,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.33333333333333,8.833333333333334,2.333333333333333,1.1666666666666667,2.333333333333333,0.5548333333333334,0.4166666666666667,0.9523333333333334,26.33333333333333,116.66666666666669,101.66666666666669,15.833333333333334,1.00307,5,2024,11,1,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
Evan Mobley,32,14,7,5,0,0.0,0.538,0.0,0.538,20.3,0.2,1,0.0,116.0,119.0,11.1,7,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.714285714285715,8.571428571428571,2.7142857142857144,1.0,2.142857142857143,0.5524285714285714,0.3571428571428571,0.8162857142857144,25.47142857142857,116.57142857142856,104.14285714285714,15.157142857142857,1.14689,6,2024,11,2,5,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
Evan Mobley,32,17,5,3,0,3.0,0.4,0.333,0.482,24.9,-0.8,0,0.667,107.0,114.0,13.8,8,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.625,8.125,2.75,0.875,1.875,0.533375,0.354125,0.797625,25.4,115.375,105.375,14.9875,1.17375,7,2024,11,4,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
Evan Mobley,29,15,9,3,0,3.0,0.438,0.0,0.433,26.9,-8.3,1,0.333,112.0,121.0,11.3,9,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.333333333333332,8.222222222222221,2.7777777777777777,0.7777777777777778,1.7777777777777777,0.5227777777777778,0.3147777777777778,0.746,25.566666666666663,115.0,107.11111111111111,14.577777777777776,1.21649,8,2024,11,6,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Evan Mobley,26,23,4,4,1,2.0,0.583,0.0,0.701,28.5,8.3,2,0.9,138.0,106.0,21.4,10,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9,7.8,2.9,0.8,1.8,0.5288,0.2833,0.7614,25.860000000000003,117.3,107.0,15.26,1.1349,9,2024,11,8,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
