Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_POR,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Damian Lillard,2022-10-19,37,20,4,8,2,0.0,0.278,0.125,0.455,29.9,-0.3,4,1.0,102.0,109.0,15.4,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,4.0,8.0,2.0,4.0,0.278,0.125,1.0,29.9,102.0,109.0,15.4,0.0
Damian Lillard,2022-10-21,43,41,7,3,0,1.0,0.48,0.417,0.677,36.8,10.4,4,1.0,131.0,110.0,28.8,2,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30.5,5.5,5.5,1.0,4.0,0.379,0.271,1.0,33.349999999999994,116.5,109.5,22.1,1.06275
Damian Lillard,2022-10-23,34,41,5,2,0,1.0,0.6,0.462,0.73,41.7,12.6,6,0.714,118.0,107.0,25.5,3,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,5.333333333333333,4.333333333333333,0.6666666666666666,4.666666666666667,0.4526666666666667,0.3346666666666666,0.9046666666666666,36.13333333333333,117.0,108.66666666666669,23.23333333333333,0.953373
Damian Lillard,2022-10-24,35,31,6,8,1,0.0,0.625,0.571,0.794,27.1,14.4,1,0.875,168.0,117.0,30.4,4,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.25,5.5,5.25,0.75,3.75,0.49575,0.39375,0.89725,33.875,129.75,110.75,25.025,1.08008
Damian Lillard,2022-10-26,26,22,2,2,1,0.0,0.462,0.364,0.703,32.8,4.1,4,1.0,115.0,128.0,14.3,5,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,4.8,4.6,0.8,3.8,0.489,0.3878,0.9178,33.660000000000004,126.8,114.2,22.880000000000003,0.993285
Damian Lillard,2022-10-28,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.83333333333333,4.0,3.8333333333333335,0.6666666666666666,3.1666666666666665,0.4075,0.3231666666666666,0.7648333333333334,28.05,105.66666666666669,95.16666666666669,19.066666666666663,0.992488
Damian Lillard,2022-11-02,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.142857142857142,3.4285714285714284,3.2857142857142856,0.5714285714285714,2.7142857142857144,0.3492857142857142,0.277,0.6555714285714286,24.042857142857144,90.57142857142856,81.57142857142857,16.342857142857145,1.12873
Damian Lillard,2022-11-04,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.375,3.0,2.875,0.5,2.375,0.305625,0.242375,0.573625,21.0375,79.25,71.375,14.3,1.01978
Damian Lillard,2022-11-05,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.22222222222222,2.6666666666666665,2.555555555555556,0.4444444444444444,2.111111111111111,0.2716666666666666,0.2154444444444444,0.509888888888889,18.700000000000003,70.44444444444444,63.44444444444444,12.711111111111112,1.10148
Damian Lillard,2022-11-07,35,19,3,6,0,0.0,0.333,0.375,0.595,28.0,-5.6,4,0.889,109.0,120.0,12.1,10,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4,2.7,2.9,0.4,2.3,0.2778,0.2314,0.5478,19.630000000000003,74.3,69.1,12.65,0.965237
Damian Lillard,2022-11-09,36,26,6,7,0,0.0,0.5,0.5,0.666,33.0,2.3,6,0.5,109.0,108.0,16.7,11,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.9,2.8,0.2,2.5,0.3,0.2689,0.4977999999999999,19.94,75.0,69.0,12.779999999999998,1.0701
Damian Lillard,2022-11-10,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,12,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,2.2,2.5,0.2,2.1,0.252,0.2272,0.3978,16.26,61.9,58.0,9.9,1.06398
