Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_MIL,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_MEM,OPP_MIA,OPP_MIN,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Damian Lillard,2024-10-23,38,30,9,6,0,0.0,0.474,0.5,0.679,29.2,4.4,3,0.857,132.0,113.0,24.6,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,9.0,6.0,0.0,3.0,0.474,0.5,0.857,29.2,132.0,113.0,24.6,0.0
Damian Lillard,2024-10-25,36,28,4,8,0,0.0,0.524,0.25,0.627,30.8,-0.8,5,1.0,112.0,129.0,19.1,2,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,6.5,7.0,0.0,4.0,0.499,0.375,0.9285,30.0,122.0,121.0,21.85,1.10886
Damian Lillard,2024-10-27,32,21,4,4,0,0.0,0.385,0.143,0.589,30.9,-4.4,4,0.909,107.0,124.0,13.1,3,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.33333333333333,5.666666666666667,6.0,0.0,4.0,0.461,0.2976666666666667,0.922,30.3,117.0,122.0,18.933333333333334,1.14483
Damian Lillard,2024-10-28,36,33,7,7,2,1.0,0.467,0.25,0.72,28.7,18.0,1,0.944,154.0,112.0,33.2,4,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,6.0,6.25,0.5,3.25,0.4625,0.28575,0.9275,29.9,126.25,119.5,22.5,1.1473
Damian Lillard,2024-10-31,33,4,2,6,1,0.0,0.083,0.0,0.155,17.5,-12.8,1,1.0,57.0,122.0,0.0,5,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2,5.2,6.2,0.6,2.8,0.3866,0.2286,0.942,27.42,112.4,120.0,18.0,1.14616
Damian Lillard,2024-11-02,39,41,4,9,0,1.0,0.542,0.667,0.745,32.7,21.5,1,0.625,153.0,122.0,33.8,6,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.166666666666668,5.0,6.666666666666667,0.5,2.5,0.4125,0.3016666666666667,0.8891666666666667,28.3,119.16666666666669,120.33333333333331,20.633333333333336,1.03367
Damian Lillard,2024-11-04,37,36,2,7,0,0.0,0.5,0.556,0.693,40.6,1.8,8,1.0,115.0,123.0,22.5,7,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.571428571428573,4.571428571428571,6.714285714285714,0.4285714285714285,3.2857142857142856,0.425,0.338,0.905,30.057142857142857,118.57142857142856,120.71428571428572,20.9,1.16345
Damian Lillard,2024-11-07,37,34,4,7,4,0.0,0.545,0.364,0.678,30.0,16.0,0,0.857,153.0,100.0,32.3,8,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28.375,4.5,6.75,0.875,2.875,0.44,0.34125,0.899,30.05,122.875,118.125,22.325,1.19929
Damian Lillard,2024-11-08,34,19,6,6,0,0.0,0.4,0.0,0.525,25.3,2.0,1,1.0,120.0,126.0,16.3,9,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.33333333333333,4.666666666666667,6.666666666666667,0.7777777777777778,2.6666666666666665,0.4355555555555555,0.3033333333333333,0.9102222222222224,29.522222222222226,122.55555555555556,119.0,21.655555555555555,1.19462
Damian Lillard,2024-11-10,36,14,4,6,3,0.0,0.267,0.125,0.407,26.2,-7.0,3,1.0,86.0,114.0,9.3,10,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,4.6,6.6,1.0,2.7,0.4187,0.2855,0.9192,29.19,118.9,118.5,20.42,0.962295
Damian Lillard,2024-11-12,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,11,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0,3.7,6.0,1.0,2.4,0.3713,0.2355,0.8335000000000001,26.27,105.7,107.2,17.96,1.27626
Damian Lillard,2024-11-13,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,12,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2,3.3,5.2,1.0,1.9,0.3189,0.2105,0.7335,23.19,94.5,94.3,16.05,1.11791
Damian Lillard,2024-11-16,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,13,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,2.9,4.8,1.0,1.5,0.2804,0.1962,0.6426000000000001,20.1,83.8,81.9,14.739999999999998,1.0874
Damian Lillard,2024-11-18,36,18,4,10,0,0.0,0.333,0.0,0.427,29.0,-2.0,2,0.857,99.0,107.0,13.2,14,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,2.6,5.1,0.8,1.6,0.267,0.1712,0.6339,20.130000000000003,78.3,81.4,12.74,0.904289
Damian Lillard,2024-11-20,36,20,5,10,0,0.0,0.412,0.2,0.533,29.0,-5.8,4,1.0,111.0,114.0,14.6,15,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,2.9,5.5,0.7,1.9,0.2999,0.1912,0.6339,21.28,83.7,80.6,14.2,1.12747
Damian Lillard,2024-11-22,37,24,5,13,1,0.0,0.421,0.375,0.566,28.1,0.9,4,1.0,122.0,116.0,21.1,16,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,3.0,5.9,0.8,2.2,0.2878,0.162,0.6714,20.82,80.6,80.0,12.929999999999998,1.11325
Damian Lillard,2024-11-23,35,31,4,4,1,0.0,0.429,0.333,0.6,32.4,2.4,1,0.909,130.0,119.0,22.7,17,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.2,5.6,0.9,1.5,0.2807,0.1397,0.6623,20.0,82.1,79.6,12.95,1.11598
Damian Lillard,2024-11-26,38,37,3,12,1,1.0,0.588,0.615,0.883,32.4,21.9,4,1.0,162.0,120.0,35.3,18,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.3,3.1,6.1,0.6,1.9,0.285,0.1648,0.6766,20.24,83.0,81.6,13.25,1.01418
Damian Lillard,2024-11-30,40,25,5,10,3,1.0,0.444,0.556,0.633,24.0,7.6,2,1.0,132.0,110.0,25.4,19,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.9,3.0,6.5,0.9,2.0,0.2894,0.2204,0.6766,20.110000000000003,84.2,80.0,14.16,1.16165
Damian Lillard,2024-12-03,32,27,4,5,0,0.0,0.529,0.455,0.72,30.7,1.2,3,1.0,130.0,113.0,20.0,20,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,3.0,6.4,0.6,2.0,0.3156,0.2534,0.6766,20.56,88.6,79.9,15.23,1.07246
