Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_MIL,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Damian Lillard,2023-10-26,37,39,8,4,0,0.0,0.45,0.333,0.71,32.0,11.8,0,1.0,154.0,120.0,33.0,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,8.0,4.0,0.0,0.0,0.45,0.333,1.0,32.0,154.0,120.0,33.0,0.0
Damian Lillard,2023-10-29,29,6,4,5,2,0.0,0.167,0.25,0.25,25.3,-15.8,6,0.0,56.0,122.0,-1.3,2,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,6.0,4.5,1.0,3.0,0.3085,0.2915,0.5,28.65,105.0,121.0,15.85,1.18005
Damian Lillard,2023-10-30,35,25,5,4,1,0.0,0.5,0.286,0.663,27.4,0.9,4,0.818,119.0,116.0,18.1,3,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.33333333333333,5.666666666666667,4.333333333333333,1.0,3.333333333333333,0.3723333333333333,0.2896666666666667,0.606,28.23333333333333,109.66666666666669,119.33333333333331,16.599999999999998,1.06828
Damian Lillard,2023-11-01,31,15,2,6,0,0.0,0.444,0.25,0.621,21.1,-3.6,2,0.857,124.0,142.0,12.3,4,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21.25,4.75,4.75,0.75,3.0,0.39025,0.27975,0.66875,26.45,113.25,125.0,15.525,1.0193
Damian Lillard,2023-11-03,36,30,4,4,1,1.0,0.467,0.571,0.74,29.8,8.6,4,1.0,128.0,111.0,24.0,5,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,4.6,4.6,0.8,3.2,0.4056,0.3379999999999999,0.735,27.12,116.2,122.2,17.22,0.951189
Damian Lillard,2023-11-06,34,21,6,7,1,0.0,0.333,0.25,0.541,24.6,1.5,1,0.9,131.0,124.0,19.2,6,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.666666666666668,4.833333333333333,5.0,0.8333333333333334,2.833333333333333,0.3935,0.3233333333333333,0.7625000000000001,26.7,118.66666666666669,122.5,17.55,1.19288
Damian Lillard,2023-11-08,34,34,2,3,3,0.0,0.4,0.167,0.553,39.5,4.6,1,0.923,112.0,108.0,24.4,7,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.285714285714285,4.428571428571429,4.714285714285714,1.1428571428571428,2.571428571428572,0.3944285714285714,0.301,0.7854285714285715,28.52857142857143,117.71428571428572,120.42857142857144,18.52857142857143,1.2003
Damian Lillard,2023-11-09,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.25,3.875,4.125,1.0,2.25,0.345125,0.2633749999999999,0.68725,24.9625,103.0,105.375,16.2125,1.07738
Damian Lillard,2023-11-11,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.88888888888889,3.4444444444444446,3.6666666666666665,0.8888888888888888,2.0,0.3067777777777778,0.234111111111111,0.6108888888888889,22.188888888888886,91.55555555555556,93.66666666666669,14.41111111111111,1.10663
Damian Lillard,2023-11-13,32,12,3,5,0,0.0,0.176,0.111,0.313,31.3,-15.6,5,1.0,75.0,123.0,1.5,10,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,3.4,3.8,0.8,2.3,0.2937,0.2218,0.6498,23.1,89.9,96.6,13.12,1.0842
