Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_BRK,OPP_ATL,OPP_BOS,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Kyrie Irving,25,26,4,4,0,0.0,0.625,0.571,0.77,26.9,13.6,1,1.0,152.0,98.0,21.0,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,4.0,4.0,0.0,1.0,0.625,0.571,1.0,26.9,152.0,98.0,21.0,0.0,0,2020,12,22,1,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336
Kyrie Irving,33,37,6,8,1,0.0,0.619,0.7,0.813,32.6,22.4,1,1.0,169.0,100.0,33.7,2,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.5,5.0,6.0,0.5,1.0,0.622,0.6355,1.0,29.75,160.5,99.0,27.35,1.17035,1,2020,12,25,4,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191
Kyrie Irving,36,25,3,6,1,0.0,0.588,0.375,0.699,25.8,6.6,4,1.0,117.0,106.0,18.8,3,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.33333333333333,4.333333333333333,6.0,0.6666666666666666,2.0,0.6106666666666666,0.5486666666666666,1.0,28.433333333333334,146.0,101.33333333333331,24.5,1.01113,2,2020,12,27,6,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334
Kyrie Irving,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,3.25,4.5,0.5,1.5,0.4579999999999999,0.4115,0.75,21.325,109.5,76.0,18.375,1.12533,3,2020,12,28,0,-2.4492935982947064e-16,1.0,0.0,1.0
Kyrie Irving,34,25,2,6,2,0.0,0.37,0.273,0.448,34.5,-7.0,1,1.0,101.0,133.0,14.3,5,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6,3.0,4.8,0.8,1.4,0.4404,0.3838,0.8,23.96,107.8,87.4,17.560000000000002,1.1846,4,2020,12,30,2,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434
Kyrie Irving,33,18,11,4,2,0.0,0.286,0.182,0.395,31.0,3.2,1,1.0,93.0,113.0,14.0,6,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.83333333333333,4.333333333333333,4.666666666666667,1.0,1.3333333333333333,0.4146666666666667,0.3501666666666667,0.8333333333333334,25.133333333333336,105.33333333333331,91.66666666666669,16.96666666666667,1.30896,5,2021,1,1,4,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
Kyrie Irving,39,30,5,10,2,2.0,0.5,0.286,0.638,30.6,6.4,5,1.0,119.0,112.0,25.7,7,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,4.428571428571429,5.428571428571429,1.1428571428571428,1.8571428571428568,0.4268571428571429,0.341,0.8571428571428571,25.914285714285715,107.28571428571428,94.57142857142856,18.214285714285715,1.01893,6,2021,1,3,6,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
Kyrie Irving,30,29,6,5,3,0.0,0.632,0.714,0.763,30.4,16.4,2,0.0,137.0,89.0,25.6,8,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.75,4.625,5.375,1.375,1.875,0.4525,0.387625,0.75,26.475,111.0,93.875,19.1375,1.00461,7,2021,1,5,1,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
Kyrie Irving,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.11111111111111,4.111111111111111,4.777777777777778,1.2222222222222223,1.6666666666666667,0.4022222222222222,0.3445555555555555,0.6666666666666666,23.53333333333333,98.66666666666669,83.44444444444444,17.01111111111111,1.19141,8,2021,1,7,3,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
Kyrie Irving,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,3.7,4.3,1.1,1.5,0.362,0.3101,0.6,21.18,88.8,75.1,15.31,0.992608,9,2021,1,8,4,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
