Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_IND,TM_SAC,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Tyrese Haliburton,2021-10-20,29,2,2,4,1,0.0,0.2,0.0,0.2,8.8,-11.2,1,0.0,70.0,118.0,1.5,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,1.0,0.2,0.0,0.0,8.8,70.0,118.0,1.5,0.0
Tyrese Haliburton,2021-10-22,35,15,3,6,3,1.0,0.583,0.0,0.603,16.1,5.4,2,1.0,118.0,108.0,16.2,2,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.5,2.5,5.0,2.0,1.5,0.3914999999999999,0.0,0.5,12.45,94.0,113.0,8.85,0.879009
Tyrese Haliburton,2021-10-24,30,8,7,9,0,2.0,0.333,0.333,0.444,16.0,3.4,2,0.0,114.0,118.0,10.7,3,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333334,4.0,6.333333333333333,1.3333333333333333,1.6666666666666667,0.3719999999999999,0.111,0.3333333333333333,13.633333333333336,100.66666666666669,114.66666666666669,9.466666666666669,1.07915
Tyrese Haliburton,2021-10-27,35,15,2,3,2,1.0,0.545,0.4,0.656,15.2,2.4,1,1.0,122.0,108.0,13.3,4,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.5,5.5,1.5,1.5,0.41525,0.18325,0.5,14.025,106.0,113.0,10.425,1.29971
Tyrese Haliburton,2021-10-29,31,17,2,8,0,1.0,0.583,0.5,0.638,22.3,4.3,2,0.667,124.0,111.0,15.9,5,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,3.2,6.0,1.2,1.6,0.4488,0.2466,0.5334,15.68,109.6,112.6,11.52,1.06057
Tyrese Haliburton,2021-10-31,33,14,6,4,0,2.0,0.357,0.25,0.457,20.1,2.8,1,1.0,111.0,111.0,12.0,6,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.833333333333334,3.6666666666666665,5.666666666666667,1.0,1.5,0.4335,0.2471666666666666,0.6111666666666666,16.416666666666668,109.83333333333331,112.33333333333331,11.6,1.03922
Tyrese Haliburton,2021-11-02,32,14,3,3,1,2.0,0.375,0.333,0.415,23.7,-3.8,1,0.5,84.0,113.0,8.8,7,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.142857142857142,3.571428571428572,5.285714285714286,1.0,1.4285714285714286,0.4251428571428571,0.2594285714285714,0.5952857142857143,17.45714285714286,106.14285714285714,112.42857142857144,11.2,0.99646
Tyrese Haliburton,2021-11-03,37,20,4,7,4,2.0,0.545,0.333,0.689,19.5,12.7,0,0.875,152.0,95.0,25.4,8,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.125,3.625,5.5,1.375,1.25,0.440125,0.268625,0.63025,17.7125,111.875,110.25,12.975,1.09188
Tyrese Haliburton,2021-11-05,31,14,3,5,1,0.0,0.75,0.667,0.875,12.1,6.4,1,0.0,174.0,109.0,15.2,9,1,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.22222222222222,3.555555555555556,5.444444444444445,1.3333333333333333,1.2222222222222223,0.4745555555555555,0.3128888888888889,0.5602222222222222,17.08888888888889,118.77777777777776,110.11111111111111,13.22222222222222,1.07763
Tyrese Haliburton,2021-11-07,34,17,3,1,3,0.0,0.5,0.5,0.607,22.9,1.7,3,0.0,96.0,102.0,12.0,10,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,3.5,5.0,1.5,1.4,0.4770999999999999,0.3316,0.5042,17.669999999999998,116.5,109.3,13.1,1.13475
