Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_MIN,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Anthony Edwards,2023-10-25,38,26,14,1,0,0.0,0.296,0.571,0.439,32.1,2.3,2,1.0,98.0,101.0,14.8,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26.0,14.0,1.0,0.0,2.0,0.296,0.571,1.0,32.1,98.0,101.0,14.8,0.0
Anthony Edwards,2023-10-28,33,19,2,7,0,0.0,0.467,0.6,0.598,24.8,2.9,2,1.0,117.0,102.0,13.6,2,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,8.0,4.0,0.0,2.0,0.3815,0.5854999999999999,1.0,28.450000000000003,107.5,101.5,14.2,1.16695
Anthony Edwards,2023-10-30,38,31,5,7,1,0.0,0.619,0.625,0.723,31.5,5.4,5,0.0,121.0,134.0,21.9,3,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.33333333333333,7.0,5.0,0.3333333333333333,3.0,0.4606666666666667,0.5986666666666666,0.6666666666666666,29.46666666666667,112.0,112.33333333333331,16.766666666666666,1.02828
Anthony Edwards,2023-11-01,32,24,2,1,2,0.0,0.5,0.25,0.615,32.9,1.8,4,0.875,104.0,92.0,14.5,4,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,5.75,4.0,0.75,3.25,0.4705,0.5115,0.71875,30.325,110.0,107.25,16.2,1.0241
Anthony Edwards,2023-11-04,36,31,8,6,1,0.0,0.684,0.5,0.731,34.9,5.2,6,0.6,117.0,101.0,23.7,5,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,26.2,6.2,4.4,0.8,3.8,0.5132,0.5092,0.6950000000000001,31.24,111.4,106.0,17.7,1.0626
Anthony Edwards,2023-11-06,38,38,9,7,1,0.0,0.6,0.25,0.677,36.3,13.5,3,0.857,128.0,98.0,29.7,6,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.166666666666668,6.666666666666667,4.833333333333333,0.8333333333333334,3.6666666666666665,0.5276666666666666,0.4659999999999999,0.722,32.083333333333336,114.16666666666669,104.66666666666669,19.7,1.09668
Anthony Edwards,2023-11-08,33,26,3,8,3,2.0,0.455,0.25,0.537,36.4,6.4,3,0.8,112.0,94.0,21.7,7,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.857142857142858,6.142857142857143,5.285714285714286,1.1428571428571428,3.571428571428572,0.5172857142857142,0.4351428571428571,0.7331428571428571,32.7,113.85714285714286,103.14285714285714,19.985714285714288,1.29437
Anthony Edwards,2023-11-10,37,28,7,5,2,1.0,0.429,0.25,0.542,33.0,4.3,4,0.727,110.0,103.0,20.4,8,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,27.875,6.25,5.25,1.25,3.625,0.50625,0.412,0.732375,32.7375,113.375,103.125,20.0375,1.26237
Anthony Edwards,2023-11-12,38,33,6,7,2,0.0,0.407,0.111,0.525,41.2,2.2,4,1.0,108.0,111.0,23.6,9,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.444444444444443,6.222222222222222,5.444444444444445,1.3333333333333333,3.6666666666666665,0.4952222222222222,0.3785555555555555,0.7621111111111111,33.67777777777778,112.77777777777776,104.0,20.433333333333334,1.09424
Anthony Edwards,2023-11-14,36,20,4,4,3,0.0,0.438,0.5,0.549,28.1,1.0,5,0.6,91.0,101.0,12.4,10,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.6,6.0,5.3,1.5,3.8,0.4894999999999999,0.3907,0.7459,33.12,110.6,103.7,19.63,1.12868
