Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,PTS_rolling_avg,TRB_rolling_avg,TM_ATL,TM_BOS,TM_BRK,TM_CHI,TM_CHO,TM_CLE,TM_DAL,TM_DEN,TM_DET,TM_GSW,TM_HOU,TM_IND,TM_LAC,TM_LAL,TM_MEM,TM_MIA,TM_MIL,TM_MIN,TM_NOP,TM_NYK,TM_OKC,TM_ORL,TM_PHI,TM_PHO,TM_POR,TM_SAC,TM_SAS,TM_TOR,TM_UTA,TM_WAS,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
CJ McCollum,34,13,3,3,1,1.0,0.4,0.0,0.409,24.2,-10.9,2,0.5,84.0,123.0,6.8,11,0,0,20.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.9,2.1,0.4042,0.3478,0.4833,27.73,101.5,110.5,12.62,0.965721,10,2021,11,9,1,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336
CJ McCollum,40,18,4,7,0,1.0,0.438,0.143,0.52,19.5,1.2,1,1.0,125.0,126.0,15.0,12,0,0,19.0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.8,2.0,0.3954,0.3076,0.4833,26.49,101.4,113.2,12.02,0.951618,11,2021,11,10,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
CJ McCollum,39,17,8,5,2,0.0,0.333,0.25,0.388,23.7,-0.9,0,1.0,95.0,93.0,12.2,13,0,0,18.7,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.8,1.7,0.3848999999999999,0.2961999999999999,0.4833,26.47,100.4,112.4,11.79,1.06819,12,2021,11,12,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
CJ McCollum,30,21,2,2,2,0.0,0.412,0.5,0.587,32.1,2.6,2,1.0,110.0,141.0,14.7,14,0,0,18.3,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.8,1.7,0.388,0.3017999999999999,0.5,26.25,100.3,116.9,11.64,0.987273,13,2021,11,14,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
CJ McCollum,40,29,3,6,1,2.0,0.611,0.545,0.768,25.2,10.0,2,0.5,144.0,123.0,25.5,15,1,0,19.8,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.1,0.8,1.6,0.4157999999999999,0.3277,0.55,26.160000000000004,107.3,119.9,13.89,1.28299,14,2021,11,15,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
CJ McCollum,38,9,3,5,0,0.0,0.286,0.2,0.321,15.8,-8.3,0,0.0,96.0,121.0,5.2,16,1,1,18.2,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1.0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.8,1.4,0.4027,0.3113,0.5,24.74,105.6,118.2,12.89,0.971927,15,2021,11,17,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
CJ McCollum,37,18,6,5,1,0.0,0.412,0.444,0.529,25.5,-4.9,3,0.0,98.0,118.0,11.4,17,1,1,18.0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.8,1.5,0.4039,0.3182,0.475,24.57,105.3,117.4,12.919999999999998,0.925637,16,2021,11,20,5,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
CJ McCollum,34,32,3,3,2,0.0,0.684,0.556,0.787,26.7,13.6,0,0.333,160.0,112.0,27.7,18,1,0,19.1,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.9,1.4,0.4354999999999999,0.3294,0.4333,24.46,110.0,116.9,13.98,1.23742,17,2021,11,23,1,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336
CJ McCollum,36,13,5,6,1,0.0,0.3,0.167,0.325,26.9,-14.0,4,0.0,82.0,129.0,3.7,19,0,1,17.7,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.7,1.0,1.4,0.4075999999999999,0.2905,0.4333,24.49,106.5,118.1,12.41,1.0703,18,2021,11,24,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
CJ McCollum,39,16,7,4,0,1.0,0.353,0.5,0.447,21.8,-3.1,1,0.5,100.0,125.0,11.1,20,0,0,18.6,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,1.0,1.5,0.4229,0.3305,0.4833,24.14,109.4,121.1,13.329999999999998,0.928209,19,2021,11,26,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
