Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_HOU,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Alperen Sengun,2021-10-20,19,11,6,2,3,0.0,0.75,0.0,0.887,19.5,7.8,3,1.0,132.0,106.0,12.2,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,2.0,3.0,3.0,0.75,0.0,1.0,19.5,132.0,106.0,12.2,0.0
Alperen Sengun,2021-10-22,18,6,4,1,1,2.0,0.6,0.0,0.551,26.1,-14.8,6,0.0,55.0,80.0,0.4,2,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,5.0,1.5,2.0,4.5,0.675,0.0,0.5,22.8,93.5,93.0,6.3,1.09365
Alperen Sengun,2021-10-24,19,7,4,4,3,1.0,0.2,0.0,0.458,20.6,6.7,1,0.833,105.0,92.0,8.2,3,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.666666666666667,2.333333333333333,2.333333333333333,3.333333333333333,0.5166666666666667,0.0,0.611,22.066666666666663,97.33333333333331,92.66666666666669,6.933333333333333,1.13189
Alperen Sengun,2021-10-26,14,5,1,2,2,0.0,0.25,0.5,0.434,19.7,1.2,1,0.5,91.0,106.0,4.1,4,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25,3.75,2.25,2.25,2.75,0.45,0.125,0.58325,21.475,95.75,96.0,6.225,0.987141
Alperen Sengun,2021-10-28,24,14,5,0,3,0.0,0.417,1.0,0.509,25.5,3.0,1,0.75,102.0,112.0,10.3,5,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.6,4.0,1.8,2.4,2.4,0.4434,0.3,0.6166,22.28,97.0,99.2,7.040000000000001,1.0619
Alperen Sengun,2021-10-31,20,11,7,2,3,0.0,0.429,0.0,0.571,28.4,4.5,4,0.833,92.0,80.0,9.0,6,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.5,1.8333333333333333,2.5,2.6666666666666665,0.441,0.25,0.6526666666666666,23.3,96.16666666666669,96.0,7.366666666666667,1.02956
Alperen Sengun,2021-11-02,26,6,4,4,1,0.0,0.429,0.0,0.429,18.6,-10.3,5,0.0,75.0,114.0,1.5,7,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.571428571428571,4.428571428571429,2.142857142857143,2.2857142857142856,3.0,0.4392857142857143,0.2142857142857142,0.5594285714285714,22.62857142857143,93.14285714285714,98.57142857142856,6.528571428571429,0.798309
Alperen Sengun,2021-11-04,23,10,4,5,1,0.0,0.4,0.5,0.46,23.2,-0.6,2,0.5,96.0,117.0,6.3,8,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75,4.375,2.5,2.125,2.875,0.434375,0.25,0.552,22.7,93.5,100.875,6.5,0.974896
Alperen Sengun,2021-11-06,14,9,4,3,0,1.0,0.75,1.0,0.922,16.6,18.5,0,1.0,193.0,97.0,9.8,9,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.777777777777779,4.333333333333333,2.555555555555556,1.8888888888888888,2.555555555555556,0.4694444444444444,0.3333333333333333,0.6017777777777779,22.022222222222226,104.55555555555556,100.44444444444444,6.866666666666666,1.10869
Alperen Sengun,2021-11-07,16,12,5,1,0,1.0,0.75,1.0,0.647,30.8,0.5,3,0.417,99.0,118.0,7.5,10,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,4.4,2.4,1.7,2.6,0.4974999999999999,0.4,0.5833,22.9,104.0,102.2,6.93,0.836408
