Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,PTS_rolling_avg,TM_ATL,TM_BOS,TM_BRK,TM_CHI,TM_CHO,TM_CLE,TM_DAL,TM_DEN,TM_DET,TM_GSW,TM_HOU,TM_IND,TM_LAC,TM_LAL,TM_MEM,TM_MIA,TM_MIL,TM_MIN,TM_NOP,TM_NYK,TM_OKC,TM_ORL,TM_PHI,TM_PHO,TM_POR,TM_SAC,TM_SAS,TM_TOR,TM_UTA,TM_WAS,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Alperen Sengun,2023-10-25,28,14,8,6,0,0.0,0.545,0.0,0.549,22.3,5.0,1,0.5,121.0,122.0,12.7,1,0,0,14.0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,1.0,0.545,0.0,0.5,22.3,121.0,122.0,12.7,0.0
Alperen Sengun,2023-10-27,41,25,14,7,2,1.0,0.611,0.333,0.606,27.3,4.6,6,0.333,108.0,108.0,21.0,2,0,0,19.5,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,6.5,1.0,3.5,0.5780000000000001,0.1665,0.4165,24.8,114.5,115.0,16.85,1.15398
Alperen Sengun,2023-10-29,33,19,5,7,0,0.0,0.467,0.5,0.567,23.0,8.4,0,1.0,135.0,122.0,18.1,3,1,0,19.33333333333333,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.666666666666667,0.6666666666666666,2.333333333333333,0.541,0.2776666666666667,0.611,24.2,121.33333333333331,117.33333333333331,17.266666666666666,1.04864
Alperen Sengun,2023-11-01,27,19,7,4,1,0.0,0.75,1.0,0.764,21.4,6.6,1,0.0,144.0,116.0,18.7,4,1,0,19.25,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,6.0,0.75,2.0,0.59325,0.45825,0.45825,23.5,127.0,117.0,17.625,1.24474
Alperen Sengun,2023-11-04,34,15,9,6,2,0.0,0.538,0.333,0.577,19.7,6.1,2,0.0,111.0,88.0,14.8,5,1,1,18.4,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.6,6.0,1.0,2.0,0.5822,0.4332,0.3666,22.74,123.8,111.2,17.06,1.02487
Alperen Sengun,2023-11-06,26,17,8,12,1,0.0,0.538,0.0,0.576,30.5,15.0,1,0.75,146.0,105.0,20.7,6,1,0,18.166666666666668,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.5,7.0,1.0,1.8333333333333333,0.5748333333333333,0.361,0.4305,24.03333333333333,127.5,110.16666666666669,17.666666666666668,1.1058
Alperen Sengun,2023-11-08,25,19,7,4,0,0.0,0.8,0.0,0.808,21.8,12.0,1,0.75,158.0,98.0,18.3,7,1,1,18.285714285714285,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.285714285714286,6.571428571428571,0.8571428571428571,1.7142857142857142,0.6070000000000001,0.3094285714285714,0.4761428571428571,23.714285714285715,131.85714285714286,108.42857142857144,17.757142857142856,1.06799
Alperen Sengun,2023-11-10,34,24,8,3,2,1.0,0.733,0.0,0.698,27.7,8.0,4,0.4,117.0,100.0,20.3,8,1,0,19.0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.25,6.125,1.0,2.0,0.62275,0.27075,0.466625,24.2125,130.0,107.375,18.075,1.14635
Alperen Sengun,2023-11-12,35,23,8,5,1,2.0,0.5,0.0,0.557,30.1,7.0,3,0.833,114.0,109.0,19.7,9,1,0,19.444444444444443,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.222222222222221,6.0,1.0,2.111111111111111,0.6091111111111112,0.2406666666666666,0.5073333333333333,24.866666666666667,128.22222222222223,107.55555555555556,18.25555555555556,1.07803
Alperen Sengun,2023-11-17,34,23,8,4,1,0.0,0.444,0.4,0.546,33.6,0.4,6,0.714,92.0,108.0,12.2,10,0,0,19.8,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,5.8,1.0,2.5,0.5926,0.2566,0.528,25.74,124.6,107.6,17.65,1.16474
