Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_CLE,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Evan Mobley,2022-10-19,36,14,6,1,1,1.0,0.556,0.333,0.651,17.8,-0.7,3,0.75,99.0,110.0,10.1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,6.0,1.0,1.0,3.0,0.556,0.333,0.75,17.8,99.0,110.0,10.1,0.0
Evan Mobley,2022-10-22,25,16,3,1,1,1.0,0.778,0.0,0.81,22.7,3.4,3,1.0,120.0,99.0,12.8,2,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4.5,1.0,1.0,3.0,0.667,0.1665,0.875,20.25,109.5,104.5,11.45,1.04669
Evan Mobley,2022-10-23,37,10,7,2,2,1.0,0.286,0.0,0.519,14.1,-1.2,2,1.0,111.0,101.0,9.7,3,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.333333333333334,5.333333333333333,1.3333333333333333,1.3333333333333333,2.6666666666666665,0.54,0.111,0.9166666666666666,18.2,110.0,103.33333333333331,10.866666666666667,1.02617
Evan Mobley,2022-10-26,34,20,3,3,1,1.0,0.6,0.0,0.597,24.6,2.2,3,0.5,102.0,98.0,12.4,4,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4.75,1.75,1.25,2.75,0.5549999999999999,0.08325,0.8125,19.8,108.0,102.0,11.25,1.15173
Evan Mobley,2022-10-28,42,19,10,3,1,2.0,0.583,0.333,0.649,18.0,5.2,2,0.667,132.0,111.0,17.7,5,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,5.8,2.0,1.2,2.6,0.5606,0.1332,0.7834,19.44,112.8,103.8,12.54,1.17951
Evan Mobley,2022-10-30,34,16,7,3,1,1.0,0.462,0.0,0.542,21.1,-3.2,2,1.0,113.0,106.0,12.0,6,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.833333333333334,6.0,2.1666666666666665,1.1666666666666667,2.5,0.5441666666666667,0.111,0.8195,19.71666666666667,112.83333333333331,104.16666666666669,12.45,1.09162
Evan Mobley,2022-11-02,32,15,7,2,0,0.0,0.875,0.0,0.845,16.2,3.3,3,0.5,124.0,108.0,11.9,7,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.714285714285714,6.142857142857143,2.142857142857143,1.0,2.571428571428572,0.5914285714285714,0.0951428571428571,0.7738571428571428,19.214285714285715,114.42857142857144,104.71428571428572,12.37142857142857,0.944249
Evan Mobley,2022-11-04,30,11,8,2,0,8.0,0.357,0.0,0.37,23.8,-0.4,1,0.5,89.0,80.0,12.0,8,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.125,6.375,2.125,0.875,2.375,0.562125,0.08325,0.739625,19.7875,111.25,101.625,12.325,1.10727
Evan Mobley,2022-11-06,30,5,7,3,2,1.0,0.286,0.0,0.317,12.5,-0.3,1,0.5,86.0,95.0,6.0,9,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.444444444444445,2.2222222222222223,1.0,2.2222222222222223,0.5314444444444444,0.074,0.713,18.977777777777774,108.44444444444444,100.88888888888889,11.622222222222222,1.3062
Evan Mobley,2022-11-07,34,26,8,1,0,0.0,0.667,0.0,0.689,28.5,-3.4,3,1.0,121.0,128.0,17.1,10,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,6.6,2.1,0.9,2.3,0.545,0.0666,0.7417,19.93,109.7,103.6,12.17,1.07566
