Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Trae Young,37,30,5,12,1,1.0,0.438,0.333,0.651,29.3,8.5,3,0.875,138.0,116.0,29.4,1,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,5.0,12.0,1.0,3.0,0.438,0.333,0.875,29.3,138.0,116.0,29.4,0.0,0,2024,10,23,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
Trae Young,41,38,8,10,4,0.0,0.458,0.357,0.639,38.0,6.3,7,0.846,118.0,115.0,32.0,2,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,6.5,11.0,2.5,5.0,0.448,0.345,0.8605,33.65,128.0,115.5,30.7,1.03499,1,2024,10,25,4,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
Trae Young,37,24,1,8,0,0.0,0.5,0.286,0.685,28.8,-5.1,10,1.0,96.0,134.0,11.7,3,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.666666666666668,4.666666666666667,10.0,1.6666666666666667,6.666666666666667,0.4653333333333333,0.3253333333333333,0.907,32.03333333333333,117.33333333333331,121.66666666666669,24.366666666666664,0.808683,2,2024,10,27,6,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
Trae Young,36,14,8,13,1,1.0,0.133,0.2,0.369,29.7,-11.9,6,0.889,86.0,115.0,9.9,4,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.5,5.5,10.75,1.5,6.5,0.38225,0.294,0.9025,31.45,109.5,120.0,20.75,1.23655,3,2024,10,28,0,-0.8660254037844386,0.5000000000000001,0.0,1.0
Trae Young,40,35,4,15,2,0.0,0.429,0.308,0.563,33.4,6.2,3,1.0,128.0,126.0,30.9,5,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.2,5.2,11.6,1.6,5.8,0.3916,0.2968,0.922,31.84,113.2,121.2,22.78,1.089,4,2024,10,30,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
Trae Young,42,25,5,12,0,0.0,0.381,0.333,0.519,29.2,-4.6,5,0.857,106.0,125.0,17.6,6,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,27.666666666666668,5.166666666666667,11.666666666666666,1.3333333333333333,5.666666666666667,0.3898333333333333,0.3028333333333333,0.9111666666666666,31.4,112.0,121.83333333333331,21.916666666666668,0.949086,5,2024,11,1,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
Trae Young,31,23,4,12,1,0.0,0.533,0.5,0.724,25.1,10.9,2,1.0,154.0,119.0,24.3,7,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,5.0,11.714285714285714,1.2857142857142858,5.142857142857143,0.4102857142857142,0.331,0.9238571428571428,30.5,118.0,121.42857142857144,22.25714285714286,1.14452,6,2024,11,3,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
Trae Young,23,2,0,6,1,0.0,0.1,0.0,0.1,23.1,-18.9,3,0.0,39.0,122.0,-3.2,8,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.875,4.375,11.0,1.25,4.875,0.3715,0.289625,0.808375,29.575,108.125,121.5,19.075,1.01191,7,2024,11,4,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
Trae Young,35,23,6,10,2,0.0,0.333,0.333,0.469,30.7,1.1,2,0.75,116.0,120.0,19.1,9,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.77777777777778,4.555555555555555,10.88888888888889,1.3333333333333333,4.555555555555555,0.3672222222222222,0.2944444444444444,0.8018888888888889,29.700000000000003,109.0,121.33333333333331,19.077777777777776,1.13823,8,2024,11,6,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Trae Young,41,35,2,13,2,0.0,0.44,0.5,0.614,29.5,7.9,3,0.875,132.0,118.0,29.4,10,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.9,4.3,11.1,1.4,4.4,0.3745,0.315,0.8092,29.68,111.3,121.0,20.11,1.0543,9,2024,11,8,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
