Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Trae Young,36,23,1,9,1,0.0,0.211,0.111,0.449,34.1,-5.5,5,0.933,92.0,118.0,12.3,1,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,9.0,1.0,5.0,0.211,0.111,0.933,34.1,92.0,118.0,12.3,0.0,0,2023,10,25,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
Trae Young,35,18,3,12,3,0.0,0.25,0.4,0.441,31.4,-3.6,6,0.8,94.0,120.0,13.5,2,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5,2.0,10.5,2.0,5.5,0.2304999999999999,0.2555,0.8665,32.75,93.0,119.0,12.9,1.08707,1,2023,10,27,4,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
Trae Young,32,20,3,11,1,0.0,0.357,0.375,0.557,26.2,1.4,3,0.778,125.0,112.0,17.6,3,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.33333333333333,2.333333333333333,10.666666666666666,1.6666666666666667,4.666666666666667,0.2726666666666666,0.2953333333333333,0.8370000000000001,30.566666666666663,103.66666666666669,116.66666666666669,14.466666666666669,1.12284,2,2023,10,29,6,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
Trae Young,35,24,1,8,1,0.0,0.409,0.143,0.496,33.6,-4.9,1,1.0,112.0,123.0,17.7,4,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.25,2.0,10.0,1.5,3.75,0.3067499999999999,0.25725,0.87775,31.325,105.75,118.25,15.275,0.907029,3,2023,10,30,0,-0.8660254037844386,0.5000000000000001,0.0,1.0
Trae Young,35,23,3,10,2,0.0,0.389,0.333,0.524,26.9,0.3,3,0.889,118.0,110.0,19.3,5,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.6,2.2,10.0,1.6,3.6,0.3232,0.2724,0.8800000000000001,30.44,108.2,116.6,16.080000000000002,1.1905,4,2023,11,1,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Trae Young,39,22,5,12,1,0.0,0.467,0.429,0.624,24.5,4.2,5,0.833,128.0,118.0,19.8,6,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.666666666666668,2.6666666666666665,10.333333333333334,1.5,3.8333333333333335,0.3471666666666667,0.2985,0.8721666666666668,29.45,111.5,116.83333333333331,16.7,1.13185,5,2023,11,4,5,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
Trae Young,36,22,4,11,1,0.0,0.278,0.2,0.482,30.0,-3.1,7,1.0,100.0,126.0,14.3,7,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.714285714285715,2.857142857142857,10.428571428571429,1.4285714285714286,4.285714285714286,0.3372857142857142,0.2844285714285714,0.8904285714285715,29.52857142857143,109.85714285714286,118.14285714285714,16.357142857142858,1.29655,6,2023,11,6,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
Trae Young,34,41,4,8,3,0.0,0.444,0.333,0.627,43.4,14.3,3,0.923,131.0,116.0,33.7,8,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.125,3.0,10.125,1.625,4.125,0.350625,0.2905,0.8945000000000001,31.2625,112.5,117.875,18.525,1.09422,7,2023,11,9,3,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419
Trae Young,38,27,2,11,1,0.0,0.368,0.333,0.566,31.1,2.4,5,0.909,120.0,121.0,20.4,9,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.444444444444443,2.888888888888889,10.22222222222222,1.5555555555555556,4.222222222222222,0.3525555555555555,0.2952222222222222,0.8961111111111111,31.244444444444444,113.33333333333331,118.22222222222224,18.73333333333333,0.987893,8,2023,11,11,5,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
Trae Young,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2.6,9.2,1.4,3.8,0.3173,0.2657,0.8065,28.12,102.0,106.4,16.86,1.19463,9,2023,11,14,1,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336
