Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,PTS_rolling_avg,TM_ATL,TM_BOS,TM_BRK,TM_CHI,TM_CHO,TM_CLE,TM_DAL,TM_DEN,TM_DET,TM_GSW,TM_HOU,TM_IND,TM_LAC,TM_LAL,TM_MEM,TM_MIA,TM_MIL,TM_MIN,TM_NOP,TM_NYK,TM_OKC,TM_ORL,TM_PHI,TM_PHO,TM_POR,TM_SAC,TM_SAS,TM_TOR,TM_UTA,TM_WAS,OPP_ATL,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_SAC,OPP_SAS,OPP_TOR,OPP_WAS,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Derrick White,2024-10-22,27,24,3,4,1,0.0,0.615,0.6,0.865,24.4,16.3,0,1.0,179.0,121.0,22.4,1,1,0,24.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,0.615,0.6,1.0,24.4,179.0,121.0,22.4,0.0
Derrick White,2024-10-24,29,19,4,4,1,0.0,0.545,0.571,0.745,19.5,9.7,1,0.75,153.0,101.0,17.3,2,0,0,21.5,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.5,4.0,1.0,0.5,0.5800000000000001,0.5854999999999999,0.875,21.95,166.0,111.0,19.85,0.0
Derrick White,2024-10-26,39,17,6,3,0,3.0,0.429,0.0,0.525,18.5,-2.5,1,1.0,122.0,123.0,14.6,3,0,0,20.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.333333333333333,3.6666666666666665,0.6666666666666666,0.6666666666666666,0.5296666666666666,0.3903333333333332,0.9166666666666666,20.8,151.33333333333334,115.0,18.1,1.10784
Derrick White,2024-10-28,34,13,3,8,1,1.0,0.385,0.3,0.5,17.0,5.7,0,0.0,123.0,105.0,13.3,4,1,1,18.25,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.75,0.75,0.5,0.4935,0.3677499999999999,0.6875,19.85,144.25,112.5,16.9,1.14059
Derrick White,2024-10-30,37,23,3,1,1,1.0,0.889,1.0,1.164,12.4,8.7,2,1.0,179.0,122.0,20.0,5,0,0,19.2,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,4.0,0.8,0.8,0.5726,0.4942,0.75,18.36,151.2,114.4,17.52,1.15928
Derrick White,2024-11-01,35,17,2,5,1,1.0,0.375,0.3,0.504,20.7,-0.5,0,1.0,122.0,117.0,12.4,6,0,0,18.83333333333333,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,4.166666666666667,0.8333333333333334,0.6666666666666666,0.5396666666666666,0.4618333333333333,0.7916666666666666,18.75,146.33333333333334,114.83333333333331,16.666666666666668,1.24226
Derrick White,2024-11-02,34,18,8,2,1,2.0,0.294,0.308,0.48,28.3,-1.0,3,1.0,93.0,100.0,10.9,7,0,0,18.714285714285715,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.142857142857143,3.857142857142857,0.8571428571428571,1.0,0.5045714285714286,0.4398571428571428,0.8214285714285714,20.11428571428572,138.71428571428572,112.71428571428572,15.842857142857143,1.22575
Derrick White,2024-11-04,29,21,6,6,2,1.0,0.5,0.444,0.622,27.6,7.9,3,0.5,120.0,88.0,17.9,8,0,0,19.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.375,4.125,1.0,1.25,0.504,0.4403749999999999,0.78125,21.05,136.375,109.625,16.1,1.11446
Derrick White,2024-11-06,36,26,6,3,2,0.0,0.421,0.438,0.64,25.3,8.2,1,1.0,131.0,120.0,19.2,9,1,0,19.77777777777778,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.555555555555555,4.0,1.1111111111111112,1.2222222222222223,0.4947777777777778,0.4401111111111111,0.8055555555555556,21.522222222222226,135.77777777777777,110.77777777777776,16.444444444444443,1.05598
Derrick White,2024-11-08,43,14,3,6,0,3.0,0.455,0.167,0.549,17.6,0.0,3,0.75,104.0,105.0,11.3,10,1,0,19.2,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,4.2,1.0,1.4,0.4908,0.4128,0.8,21.130000000000003,132.6,110.2,15.93,1.07369
