Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_BOS,OPP_ATL,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Derrick White,2022-10-18,24,2,3,4,1,0,0.333,0.0,0.291,8.5,-3.1,1,0.0,100,120,3.2,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,1.0,1.0,0.333,0.0,0.0,8.5,100.0,120.0,3.2,0.0
Derrick White,2022-10-21,25,10,7,1,0,3,0.4,0.5,0.74,14.4,6.4,1,1.0,145,106,9.6,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,2.5,0.5,1.0,0.3665,0.25,0.5,11.45,122.5,113.0,6.4,1.08614
Derrick White,2022-10-22,37,27,4,4,1,0,0.588,0.556,0.737,22.2,8.5,0,0.667,154,126,23.7,3,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4.666666666666667,3.0,0.6666666666666666,0.6666666666666666,0.4403333333333333,0.352,0.5556666666666666,15.033333333333331,133.0,117.33333333333331,12.166666666666666,1.03921
Derrick White,2022-10-24,26,5,1,4,0,0,0.25,0.2,0.313,14.6,-11.7,1,0.0,79,130,0.7,4,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.75,3.25,0.5,0.75,0.39275,0.314,0.41675,14.925,119.5,120.5,9.3,1.28369
Derrick White,2022-10-28,22,9,1,1,2,0,0.6,0.5,0.765,16.3,-0.3,2,1.0,110,120,6.1,5,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6,3.2,2.8,0.8,1.0,0.4342,0.3512,0.5334,15.2,117.6,120.4,8.66,0.918966
Derrick White,2022-10-30,24,5,5,2,0,0,0.333,0.5,0.417,12.1,-6.5,0,0.0,106,101,3.7,6,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.666666666666666,3.5,2.6666666666666665,0.6666666666666666,0.8333333333333334,0.4173333333333333,0.376,0.4444999999999999,14.683333333333332,115.66666666666669,117.16666666666669,7.833333333333333,1.21546
Derrick White,2022-11-02,32,3,3,6,0,2,0.25,0.333,0.375,5.5,1.3,0,0.0,120,106,5.5,7,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.714285714285714,3.4285714285714284,3.142857142857143,0.5714285714285714,0.7142857142857143,0.3934285714285714,0.3698571428571428,0.3809999999999999,13.37142857142857,116.28571428571428,115.57142857142856,7.5,1.06077
Derrick White,2022-11-04,26,7,3,2,1,2,0.5,0.333,0.583,9.7,2.1,0,0.0,125,108,7.1,8,1,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,3.375,3.0,0.625,0.625,0.40675,0.36525,0.333375,12.9125,117.375,114.625,7.449999999999999,0.841501
Derrick White,2022-11-05,22,7,3,1,0,0,0.6,0.5,0.7,12.3,-4.8,1,0.0,126,128,5.3,9,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333334,3.333333333333333,2.7777777777777777,0.5555555555555556,0.6666666666666666,0.4282222222222222,0.3802222222222222,0.2963333333333333,12.844444444444443,118.33333333333331,116.11111111111111,7.21111111111111,0.968343
Derrick White,2022-11-07,18,4,2,1,1,1,0.4,0.0,0.4,12.1,-1.0,0,0.0,98,103,3.9,10,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,3.2,2.6,0.6,0.6,0.4253999999999999,0.3422,0.2667,12.77,116.3,114.8,6.88,0.993598
Derrick White,2022-11-09,20,8,8,4,0,1,0.5,1.0,0.82,13.1,8.8,1,1.0,157,106,10.5,11,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,3.7,2.6,0.5,0.6,0.4420999999999999,0.4422,0.3666999999999999,13.23,122.0,113.4,7.609999999999999,0.968273
Derrick White,2022-11-11,24,10,1,4,0,1,0.333,0.333,0.506,18.5,0.9,0,1.0,134,126,8.7,12,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,3.1,2.9,0.5,0.5,0.4354,0.4255,0.3666999999999999,13.639999999999995,120.9,115.4,7.52,1.06547
Derrick White,2022-11-12,25,12,3,4,0,2,0.25,0.2,0.41,25.7,-5.1,0,0.833,101,112,7.9,13,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2.9,0.4,0.5,0.4016,0.3899,0.3833,13.99,115.6,114.0,5.94,1.17905
Derrick White,2022-11-14,33,16,1,5,4,0,0.556,0.5,0.743,13.8,7.1,1,1.0,147,108,17.3,14,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,3.0,3.0,0.8,0.5,0.4322,0.4199,0.4833,13.91,122.4,111.8,7.6,1.19907
Derrick White,2022-11-16,31,16,5,10,0,1,0.545,0.5,0.673,20.1,9.2,2,1.0,144,105,18.3,15,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,3.4,3.9,0.6,0.5,0.4267,0.4199,0.4833,14.29,125.8,110.3,8.82,1.01085
Derrick White,2022-11-18,35,26,3,1,2,2,0.75,0.75,1.009,17.2,16.2,1,1.0,173,108,24.4,16,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9,3.2,3.8,0.8,0.6,0.4684,0.4448999999999999,0.5833,14.8,132.5,111.0,10.89,1.09195
Derrick White,2022-11-21,18,4,2,2,0,0,0.4,0.0,0.4,14.8,-11.0,1,0.0,79,123,1.1,17,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.1,3.4,0.8,0.7,0.4833999999999999,0.4115999999999999,0.5833,15.73,128.4,112.7,10.45,1.10022
