Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_LAC,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Paul George,2020-12-22,36,33,6,3,1,0.0,0.722,0.625,0.874,27.3,12.6,5,1.0,131.0,107.0,24.3,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,6.0,3.0,1.0,5.0,0.722,0.625,1.0,27.3,131.0,107.0,24.3,0.0
Paul George,2020-12-25,37,23,5,9,1,0.0,0.571,0.556,0.773,26.5,6.4,6,1.0,122.0,118.0,18.8,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,5.5,6.0,1.0,5.5,0.6465,0.5905,1.0,26.9,126.5,112.5,21.55,1.08712
Paul George,2020-12-27,24,15,2,4,0,0.0,0.308,0.0,0.454,42.1,-4.1,4,0.875,80.0,139.0,6.1,3,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.666666666666668,4.333333333333333,5.333333333333333,0.6666666666666666,5.0,0.5336666666666666,0.3936666666666666,0.9583333333333334,31.96666666666667,111.0,121.33333333333331,16.400000000000002,1.3546
Paul George,2020-12-29,29,18,6,5,0,2.0,0.5,0.667,0.699,26.3,2.6,4,1.0,111.0,103.0,13.5,4,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.25,4.75,5.25,0.5,4.75,0.52525,0.462,0.96875,30.55,111.0,116.75,15.675,1.14828
Paul George,2020-12-30,28,23,10,7,2,0.0,0.533,0.444,0.686,29.1,12.8,3,0.75,126.0,101.0,21.8,5,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22.4,5.8,5.6,0.8,4.4,0.5267999999999999,0.4584,0.925,30.26,114.0,113.6,16.9,1.03544
Paul George,2021-01-01,38,25,8,4,6,1.0,0.273,0.385,0.49,37.5,10.3,5,1.0,96.0,101.0,19.3,6,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.83333333333333,6.166666666666667,5.333333333333333,1.6666666666666667,4.5,0.4845,0.4461666666666666,0.9375,31.46666666666667,111.0,111.5,17.3,1.08288
Paul George,2021-01-03,38,39,3,4,2,1.0,0.625,0.7,0.784,36.9,14.0,5,1.0,124.0,113.0,27.2,7,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.142857142857142,5.714285714285714,5.142857142857143,1.7142857142857142,4.571428571428571,0.5045714285714286,0.4824285714285714,0.9464285714285714,32.24285714285715,112.85714285714286,111.71428571428572,18.714285714285715,1.0753
Paul George,2021-01-05,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,5.0,4.5,1.5,4.0,0.4415,0.422125,0.828125,28.2125,98.75,97.75,16.375,1.19816
Paul George,2021-01-06,39,21,12,2,1,0.0,0.333,0.333,0.554,23.5,2.5,2,1.0,120.0,103.0,15.7,9,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.88888888888889,5.777777777777778,4.222222222222222,1.4444444444444444,3.7777777777777777,0.4294444444444444,0.4122222222222222,0.8472222222222222,27.68888888888889,101.11111111111111,98.33333333333331,16.299999999999997,0.94569
Paul George,2021-01-08,39,25,4,7,0,1.0,0.692,0.714,0.901,20.6,10.5,4,1.0,144.0,127.0,21.9,10,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2,5.6,4.5,1.3,3.8,0.4557,0.4423999999999999,0.8625,26.98,105.4,101.2,16.86,1.07516
Paul George,2021-01-10,40,28,7,9,2,0.0,0.421,0.625,0.61,26.6,6.1,2,0.778,135.0,128.0,25.9,11,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7,5.7,5.1,1.4,3.5,0.4256,0.4423999999999999,0.8403,26.910000000000004,105.8,103.3,17.02,1.16723
Paul George,2021-01-13,38,27,6,6,0,1.0,0.5,0.556,0.708,28.8,6.5,3,0.857,125.0,118.0,22.3,12,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.1,5.8,4.8,1.3,3.2,0.4185,0.4423999999999999,0.826,27.14,106.1,103.3,17.369999999999997,1.2027
