Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,PTS_rolling_avg,TM_ATL,TM_BOS,TM_BRK,TM_CHI,TM_CHO,TM_CLE,TM_DAL,TM_DEN,TM_DET,TM_GSW,TM_HOU,TM_IND,TM_LAC,TM_LAL,TM_MEM,TM_MIA,TM_MIL,TM_MIN,TM_NOP,TM_NYK,TM_OKC,TM_ORL,TM_PHI,TM_PHO,TM_POR,TM_SAC,TM_SAS,TM_TOR,TM_UTA,TM_WAS,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Bradley Beal,36,31,2,3,4,0.0,0.5,0.375,0.618,36.6,4.3,6,0.857,96.0,102.0,19.1,1,0,0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,6.0,0.5,0.375,0.857,36.6,96.0,102.0,19.1,0.0,0,2020,12,23,2,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434
Bradley Beal,37,39,7,5,2,0.0,0.583,0.4,0.656,35.8,7.9,4,0.692,120.0,116.0,29.8,2,1,0,35.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.0,3.0,5.0,0.5415,0.3875,0.7745,36.2,108.0,109.0,24.450000000000003,0.989481,1,2020,12,26,5,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146
Bradley Beal,39,29,5,7,0,1.0,0.345,0.0,0.44,36.0,-3.0,1,1.0,105.0,124.0,18.4,3,1,0,33.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.666666666666667,5.0,2.0,3.6666666666666665,0.476,0.2583333333333333,0.8496666666666667,36.13333333333333,107.0,114.0,22.433333333333334,1.05692,2,2020,12,27,6,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334
Bradley Beal,37,29,4,3,2,1.0,0.45,0.2,0.594,33.8,1.1,5,1.0,106.0,107.0,18.8,4,1,0,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,2.0,4.0,0.4695,0.24375,0.88725,35.55,106.75,112.25,21.525,1.08415,3,2020,12,29,1,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336
Bradley Beal,35,28,4,3,1,1.0,0.421,0.0,0.566,32.9,-4.7,3,0.923,112.0,126.0,18.3,5,1,0,31.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,4.2,1.8,3.8,0.4598,0.195,0.8943999999999999,35.02,107.8,115.0,20.880000000000003,0.970302,4,2020,12,31,3,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419
Bradley Beal,28,31,3,7,1,0.0,0.6,0.6,0.698,36.4,9.9,2,0.8,134.0,106.0,25.8,6,0,0,31.166666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.166666666666667,4.666666666666667,1.6666666666666667,3.5,0.4831666666666667,0.2625,0.8786666666666667,35.25,112.16666666666669,113.5,21.7,1.21763,5,2021,1,1,4,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
Bradley Beal,36,27,10,5,1,2.0,0.36,0.4,0.466,32.4,4.2,2,0.778,104.0,111.0,20.4,7,0,0,30.571428571428573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.714285714285714,1.5714285714285714,3.2857142857142856,0.4655714285714286,0.2821428571428571,0.8642857142857142,34.84285714285714,111.0,113.14285714285714,21.514285714285712,1.12551,6,2021,1,3,6,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
Bradley Beal,38,60,7,5,1,0.0,0.571,0.7,0.721,46.8,16.9,4,0.867,138.0,131.0,45.7,8,0,0,34.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25,4.75,1.5,3.375,0.47875,0.334375,0.864625,36.3375,114.375,115.375,24.5375,0.974081,7,2021,1,6,2,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
Bradley Beal,38,41,3,3,0,1.0,0.552,0.444,0.657,40.6,5.2,5,1.0,111.0,115.0,24.6,9,0,0,35.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.555555555555555,1.3333333333333333,3.555555555555556,0.4868888888888888,0.3465555555555555,0.8796666666666666,36.81111111111111,114.0,115.33333333333331,24.544444444444444,1.09347,8,2021,1,8,4,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
Bradley Beal,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10,1,1,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.1,1.2,3.2,0.4382,0.3118999999999999,0.7917,33.13,102.6,103.8,22.09,1.11429,9,2021,1,9,5,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
