Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_CHO,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
LaMelo Ball,16,0,1,3,2,0.0,0.0,0.0,0.0,21.8,-20.8,3,0.0,26.0,113.0,-2.9,1,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,3.0,0.0,0.0,0.0,21.8,26.0,113.0,-2.9,0.0,0,2020,12,23,2,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434
LaMelo Ball,15,13,5,1,1,0.0,0.5,0.5,0.597,33.6,5.9,2,0.5,100.0,104.0,9.2,2,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,3.0,2.0,1.5,2.5,0.25,0.25,0.25,27.700000000000003,63.0,108.5,3.1499999999999995,0.0,1,2020,12,26,5,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146
LaMelo Ball,20,6,5,5,1,0.0,0.333,0.667,0.5,18.7,-3.4,3,0.0,82.0,98.0,4.0,3,1,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.333333333333333,3.6666666666666665,3.0,1.3333333333333333,2.6666666666666665,0.2776666666666667,0.389,0.1666666666666666,24.7,69.33333333333333,105.0,3.433333333333333,0.951189,2,2020,12,27,6,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334
LaMelo Ball,29,22,8,5,1,1.0,0.7,0.8,0.935,19.3,18.6,2,1.0,169.0,98.0,23.8,4,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.25,4.75,3.5,1.25,2.5,0.38325,0.49175,0.375,23.35,94.25,103.25,8.525,0.763099,3,2020,12,30,2,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434
LaMelo Ball,27,15,3,6,2,0.0,0.429,0.286,0.504,26.8,6.4,2,0.5,102.0,108.0,11.9,5,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2,4.4,4.0,1.4,2.4,0.3923999999999999,0.4506,0.4,24.04,95.8,104.2,9.2,1.16384,4,2021,1,1,4,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
LaMelo Ball,31,13,4,5,4,2.0,0.333,0.25,0.444,22.5,0.7,2,0.667,99.0,116.0,12.7,6,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,4.333333333333333,4.166666666666667,1.8333333333333333,2.333333333333333,0.3825,0.4171666666666667,0.4444999999999999,23.78333333333333,96.33333333333331,106.16666666666669,9.783333333333331,0.867515,5,2021,1,2,5,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
LaMelo Ball,30,12,7,9,2,0.0,0.313,0.0,0.346,27.3,-0.7,2,0.667,89.0,112.0,10.8,7,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.571428571428571,4.714285714285714,4.857142857142857,1.8571428571428568,2.2857142857142856,0.3725714285714286,0.3575714285714286,0.4762857142857143,24.285714285714285,95.28571428571428,107.0,9.928571428571429,1.07822,6,2021,1,4,0,0.49999999999999994,0.8660254037844387,0.0,1.0
LaMelo Ball,24,13,8,5,0,0.0,0.455,0.25,0.547,24.1,3.9,1,1.0,117.0,98.0,12.2,8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.75,5.125,4.875,1.625,2.125,0.3828749999999999,0.344125,0.54175,24.2625,98.0,105.875,10.2125,1.1144,7,2021,1,6,2,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
LaMelo Ball,26,12,10,9,1,0.0,0.364,0.2,0.47,26.4,2.0,3,0.75,119.0,114.0,13.2,9,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.77777777777778,5.666666666666667,5.333333333333333,1.5555555555555556,2.2222222222222223,0.3807777777777777,0.3281111111111111,0.5648888888888889,24.5,100.33333333333331,106.77777777777776,10.544444444444444,1.05451,8,2021,1,8,4,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
LaMelo Ball,31,22,12,11,1,0.0,0.692,0.6,0.793,22.3,17.9,1,0.5,168.0,106.0,27.0,10,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,6.3,5.9,1.5,2.1,0.4119,0.3553,0.5584,24.28,107.1,106.7,12.19,0.979709,9,2021,1,9,5,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
