Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_GSW,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Stephen Curry,25,17,9,10,2,0.0,0.4,0.429,0.672,22.6,13.8,2,1.0,150.0,90.0,21.3,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,9.0,10.0,2.0,2.0,0.4,0.429,1.0,22.6,150.0,90.0,21.3,0.0,0,2024,10,23,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
Stephen Curry,27,20,3,4,2,0.0,0.35,0.308,0.479,33.8,-2.9,3,1.0,102.0,86.0,10.3,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.5,6.0,7.0,2.0,2.5,0.375,0.3685,1.0,28.2,126.0,88.0,15.8,1.16897,1,2024,10,25,4,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
Stephen Curry,27,18,4,6,2,1.0,0.545,0.571,0.758,27.1,10.5,6,1.0,109.0,105.0,14.4,3,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.33333333333333,5.333333333333333,6.666666666666667,2.0,3.6666666666666665,0.4316666666666666,0.4359999999999999,1.0,27.83333333333333,120.33333333333331,93.66666666666669,15.333333333333334,1.0592,2,2024,10,27,6,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
Stephen Curry,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.75,4.0,5.0,1.5,2.75,0.32375,0.3269999999999999,0.75,20.875,90.25,70.25,11.5,1.2279,3,2024,10,29,1,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
Stephen Curry,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.2,4.0,1.2,2.2,0.259,0.2615999999999999,0.6,16.7,72.2,56.2,9.2,1.23645,4,2024,10,30,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
Stephen Curry,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.166666666666666,2.6666666666666665,3.333333333333333,1.0,1.8333333333333333,0.2158333333333333,0.2179999999999999,0.5,13.916666666666666,60.16666666666666,46.833333333333336,7.666666666666667,1.03909,5,2024,11,2,5,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
Stephen Curry,24,24,3,6,0,0.0,0.467,0.444,0.68,32.9,10.9,2,1.0,136.0,115.0,19.4,7,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.285714285714286,2.7142857142857144,3.7142857142857135,0.8571428571428571,1.8571428571428568,0.2517142857142857,0.2502857142857143,0.5714285714285714,16.62857142857143,71.0,56.57142857142857,9.342857142857143,1.1165,6,2024,11,4,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
Stephen Curry,34,27,7,9,4,1.0,0.471,0.444,0.672,28.6,18.9,3,1.0,136.0,103.0,27.6,8,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.25,3.25,4.375,1.25,2.0,0.279125,0.2744999999999999,0.625,18.125,79.125,62.375,11.625,0.862009,7,2024,11,6,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Stephen Curry,24,12,1,2,2,0.0,0.5,0.25,0.575,27.4,-10.1,6,1.0,72.0,128.0,4.7,9,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.11111111111111,3.0,4.111111111111111,1.3333333333333333,2.4444444444444446,0.3036666666666667,0.2717777777777777,0.6666666666666666,19.155555555555555,78.33333333333333,69.66666666666667,10.855555555555556,1.18174,8,2024,11,8,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
Stephen Curry,36,36,5,7,1,1.0,0.565,0.538,0.727,32.0,13.5,3,0.75,138.0,119.0,29.4,10,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,3.2,4.4,1.3,2.5,0.3298,0.2984,0.675,20.44,84.3,74.6,12.71,1.01771,9,2024,11,10,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
