Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_UTA,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Lauri Markkanen,33,18,9,3,1,1.0,0.556,0.333,0.745,19.0,7.0,2,1.0,144.0,100.0,17.8,11,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.3,9.9,2.6,0.6,2.0,0.5346,0.2838,0.725,24.86,122.5,110.6,18.55,1.03125,10,2022,11,6,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
Lauri Markkanen,28,23,3,2,0,1.0,0.667,0.25,0.705,25.3,2.7,1,0.667,139.0,118.0,17.7,12,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2,8.9,2.3,0.6,2.0,0.5578000000000001,0.2888,0.6917,24.860000000000003,124.4,111.0,18.26,1.08533,11,2022,11,7,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
Lauri Markkanen,31,32,8,0,0,1.0,0.5,0.75,0.743,31.9,8.1,3,1.0,132.0,116.0,23.1,13,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.3,8.5,2.1,0.4,2.1,0.5549,0.3304999999999999,0.6917,25.5,123.2,111.8,17.729999999999997,0.913008,12,2022,11,9,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Lauri Markkanen,31,17,5,1,0,2.0,0.571,0.333,0.607,20.8,-0.1,1,0.0,108.0,119.0,13.4,14,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.6,8.4,2.1,0.4,2.1,0.5752,0.3638,0.6917,24.82,125.6,111.4,18.57,1.02702,13,2022,11,12,5,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
Lauri Markkanen,34,15,10,0,0,0.0,0.462,0.4,0.508,21.8,-4.3,4,0.25,85.0,109.0,6.9,15,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7,8.5,1.8,0.4,2.1,0.5547000000000001,0.3787999999999999,0.6416999999999999,24.520000000000003,122.8,112.5,17.4,1.02084,14,2022,11,13,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
Lauri Markkanen,30,13,6,4,0,2.0,0.455,0.4,0.547,19.4,0.6,2,0.5,116.0,121.0,10.9,16,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,8.1,2.1,0.4,2.0,0.5502,0.3687999999999999,0.6917,23.56,124.8,112.7,17.46,1.28789,15,2022,11,15,1,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336
Lauri Markkanen,35,38,6,3,1,0.0,0.833,0.667,0.883,26.6,14.4,1,0.75,170.0,127.0,34.1,17,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22.8,7.8,1.9,0.4,1.9,0.5906,0.4133,0.6667,23.54,130.5,113.5,19.05,1.09703,16,2022,11,18,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
Lauri Markkanen,32,23,10,2,1,0.0,0.538,0.6,0.696,25.3,4.1,3,0.75,127.0,111.0,17.9,18,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,7.7,1.9,0.4,2.0,0.5710999999999999,0.4065999999999999,0.6584,23.44,127.3,115.0,17.66,1.03933,17,2022,11,19,5,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
Lauri Markkanen,39,25,10,3,1,1.0,0.476,0.2,0.549,26.3,1.2,2,1.0,126.0,124.0,21.5,19,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.1,8.0,2.2,0.5,2.0,0.5587,0.4266,0.6917,24.27,129.8,116.1,19.020000000000003,1.00518,18,2022,11,21,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
Lauri Markkanen,34,13,8,2,0,0.0,0.308,0.429,0.468,22.2,-11.9,3,1.0,82.0,131.0,5.1,20,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7,7.5,2.0,0.4,2.2,0.5366,0.4362,0.6917,23.86,122.9,117.6,16.84,1.08,19,2022,11,23,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
