Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_MIL,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Jrue Holiday,18,12,1,1,1,0.0,0.714,0.5,0.857,15.8,11.0,0,0.0,174.0,107.0,11.5,1,1,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,1.0,0.0,0.714,0.5,0.0,15.8,174.0,107.0,11.5,0.0,0,2021,10,19,1,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
Jrue Holiday,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.5,0.5,0.5,0.0,0.357,0.25,0.0,7.9,87.0,53.5,5.75,0.0,1,2021,10,21,3,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
Jrue Holiday,25,16,4,5,0,0.0,0.667,0.75,0.81,24.9,0.3,5,0.5,116.0,113.0,10.6,3,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.333333333333334,1.6666666666666667,2.0,0.3333333333333333,1.6666666666666667,0.4603333333333333,0.4166666666666667,0.1666666666666666,13.566666666666668,96.66666666666669,73.33333333333333,7.366666666666667,0.988133,2,2021,10,23,5,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
Jrue Holiday,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.25,1.5,0.25,1.25,0.34525,0.3125,0.125,10.175,72.5,55.0,5.525,0.832476,3,2021,10,25,0,-0.8660254037844386,0.5000000000000001,0.0,1.0
Jrue Holiday,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,1.0,1.2,0.2,1.0,0.2762,0.25,0.1,8.14,58.0,44.0,4.42,1.0401,4,2021,10,27,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
Jrue Holiday,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.666666666666667,0.8333333333333334,1.0,0.1666666666666666,0.8333333333333334,0.2301666666666666,0.2083333333333333,0.0833333333333333,6.783333333333334,48.333333333333336,36.66666666666666,3.6833333333333336,1.04892,5,2021,10,30,5,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
Jrue Holiday,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.7142857142857143,0.8571428571428571,0.1428571428571428,0.7142857142857143,0.1972857142857143,0.1785714285714285,0.0714285714285714,5.814285714285715,41.42857142857143,31.428571428571427,3.157142857142857,1.00813,6,2021,10,31,6,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
Jrue Holiday,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.625,0.75,0.125,0.625,0.172625,0.15625,0.0625,5.0875,36.25,27.5,2.7625,1.19969,7,2021,11,2,1,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336
Jrue Holiday,20,10,4,3,0,0.0,0.375,0.333,0.512,32.8,-13.1,5,0.75,76.0,116.0,2.7,9,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.222222222222222,1.0,1.0,0.1111111111111111,1.1111111111111112,0.1951111111111111,0.1758888888888888,0.1388888888888889,8.166666666666666,40.66666666666666,37.333333333333336,2.7555555555555555,1.12991,8,2021,11,5,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
Jrue Holiday,30,14,5,4,1,0.0,0.375,0.286,0.438,25.4,-2.3,2,0.0,94.0,107.0,8.5,10,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.2,1.4,1.3,0.2,1.2,0.2131,0.1869,0.125,9.89,46.0,44.3,3.33,0.847747,9,2021,11,7,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
