Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,PTS_rolling_avg,TM_ATL,TM_BOS,TM_BRK,TM_CHI,TM_CHO,TM_CLE,TM_DAL,TM_DEN,TM_DET,TM_GSW,TM_HOU,TM_IND,TM_LAC,TM_LAL,TM_MEM,TM_MIA,TM_MIL,TM_MIN,TM_NOP,TM_NYK,TM_OKC,TM_ORL,TM_PHI,TM_PHO,TM_POR,TM_SAC,TM_SAS,TM_TOR,TM_UTA,TM_WAS,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
DeMar DeRozan,33,20,5,2,1,1.0,0.45,0.333,0.469,27.3,-0.6,0,0.333,104.0,127.0,13.8,1,1,0,20.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,0.45,0.333,0.333,27.3,104.0,127.0,13.8,0.0,0,2023,10,25,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
DeMar DeRozan,41,33,4,3,4,1.0,0.5,0.333,0.586,30.4,13.3,2,0.714,118.0,91.0,26.0,2,1,0,26.5,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.5,2.5,2.5,1.0,0.475,0.333,0.5235,28.85,111.0,109.0,19.9,0.886583,1,2023,10,27,4,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
DeMar DeRozan,32,20,2,4,1,2.0,0.538,0.0,0.622,23.9,5.1,1,0.857,133.0,132.0,17.3,3,0,0,24.33333333333333,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,3.0,2.0,1.0,0.496,0.222,0.6346666666666666,27.2,118.33333333333331,116.66666666666669,19.03333333333333,0.891791,2,2023,10,28,5,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
DeMar DeRozan,35,20,3,4,0,1.0,0.316,0.0,0.444,27.4,-2.0,0,1.0,107.0,111.0,13.1,4,0,0,23.25,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.25,1.5,0.75,0.451,0.1665,0.726,27.25,115.5,115.25,17.55,1.11619,3,2023,10,30,0,-0.8660254037844386,0.5000000000000001,0.0,1.0
DeMar DeRozan,33,16,3,7,1,0.0,0.385,0.0,0.512,24.2,-1.1,2,1.0,117.0,129.0,12.9,5,0,0,21.8,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,4.0,1.4,1.0,0.4378,0.1332,0.7807999999999999,26.64,115.8,118.0,16.619999999999997,1.0582,4,2023,11,1,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
DeMar DeRozan,33,24,1,4,0,0.0,0.45,0.5,0.551,29.7,2.5,0,1.0,125.0,123.0,17.1,6,1,0,22.166666666666668,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.1666666666666667,0.8333333333333334,0.4398333333333333,0.1943333333333333,0.8173333333333334,27.15,117.33333333333331,118.83333333333331,16.7,0.991033,5,2023,11,3,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
DeMar DeRozan,34,17,3,6,0,0.0,0.438,0.0,0.479,23.6,-4.5,0,0.75,109.0,135.0,11.7,7,0,0,21.428571428571427,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.285714285714286,1.0,0.7142857142857143,0.4395714285714285,0.1665714285714285,0.8077142857142857,26.642857142857142,116.14285714285714,121.14285714285714,15.985714285714286,1.12815,6,2023,11,4,5,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
DeMar DeRozan,30,21,5,4,4,0.0,0.615,1.0,0.691,23.8,9.8,1,0.8,147.0,109.0,22.0,8,1,0,21.375,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.25,4.25,1.375,0.75,0.4615,0.27075,0.80675,26.2875,120.0,119.625,16.7375,1.24368,7,2023,11,6,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
DeMar DeRozan,40,22,2,7,1,2.0,0.3,0.25,0.443,29.7,-2.0,2,0.818,98.0,115.0,14.7,9,1,0,21.444444444444443,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.111111111111111,4.555555555555555,1.3333333333333333,0.8888888888888888,0.4435555555555555,0.2684444444444444,0.808,26.666666666666668,117.55555555555556,119.11111111111111,16.51111111111111,1.04215,8,2023,11,8,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
DeMar DeRozan,37,29,1,1,0,4.0,0.579,0.667,0.684,25.5,7.3,0,1.0,145.0,122.0,23.9,10,1,0,22.2,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,4.2,1.2,0.8,0.4570999999999999,0.3083,0.8272,26.55,120.3,119.4,17.25,1.12357,9,2023,11,12,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
