Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_OKC,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Shai Gilgeous-Alexander,2021-10-20,33,18,4,2,0,0.0,0.412,0.143,0.469,26.3,-0.9,1,0.6,99.0,118.0,9.3,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,4.0,2.0,0.0,1.0,0.412,0.143,0.6,26.3,99.0,118.0,9.3,0.0
Shai Gilgeous-Alexander,2021-10-22,26,13,4,2,0,0.0,0.4,0.167,0.433,31.0,-14.1,5,0.0,65.0,122.0,2.1,2,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,4.0,2.0,0.0,3.0,0.406,0.155,0.3,28.65,82.0,120.0,5.7,1.14194
Shai Gilgeous-Alexander,2021-10-24,39,29,6,8,1,1.0,0.474,0.167,0.597,31.6,5.9,2,0.833,122.0,121.0,24.8,3,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.666666666666667,4.0,0.3333333333333333,2.6666666666666665,0.4286666666666667,0.159,0.4776666666666666,29.633333333333336,95.33333333333331,120.33333333333331,12.066666666666668,1.12523
Shai Gilgeous-Alexander,2021-10-26,36,30,1,4,1,0.0,0.579,0.8,0.708,28.0,10.6,1,0.8,138.0,113.0,21.8,4,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,3.75,4.0,0.5,2.25,0.46625,0.31925,0.55825,29.225,106.0,118.5,14.5,1.0564
Shai Gilgeous-Alexander,2021-10-27,38,27,9,5,0,0.0,0.368,0.455,0.577,28.4,0.9,2,0.8,125.0,116.0,19.9,5,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.4,4.8,4.2,0.4,2.2,0.4466,0.3464,0.6066,29.06,109.8,118.0,15.580000000000002,1.01723
Shai Gilgeous-Alexander,2021-10-30,29,15,5,2,1,0.0,0.4,0.286,0.472,26.3,1.6,1,0.5,88.0,104.0,9.4,6,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,4.833333333333333,3.8333333333333335,0.5,2.0,0.4388333333333333,0.3363333333333333,0.5888333333333333,28.6,106.16666666666669,115.66666666666669,14.55,0.931274
Shai Gilgeous-Alexander,2021-11-01,40,28,7,2,2,1.0,0.478,0.6,0.576,28.0,6.9,2,1.0,113.0,101.0,19.7,7,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.857142857142858,5.142857142857143,3.571428571428572,0.7142857142857143,2.0,0.4444285714285714,0.374,0.6475714285714285,28.514285714285712,107.14285714285714,113.57142857142856,15.285714285714286,1.08187
Shai Gilgeous-Alexander,2021-11-04,39,28,3,6,1,1.0,0.529,0.571,0.713,23.2,10.9,2,1.0,142.0,111.0,24.9,8,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,4.875,3.875,0.75,2.0,0.455,0.398625,0.6916249999999999,27.85,111.5,113.25,16.4875,1.06752
Shai Gilgeous-Alexander,2021-11-07,36,14,8,9,1,1.0,0.313,0.167,0.404,23.5,1.5,3,1.0,94.0,94.0,12.2,9,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.444444444444443,5.222222222222222,4.444444444444445,0.7777777777777778,2.111111111111111,0.4392222222222222,0.3728888888888889,0.7258888888888888,27.366666666666667,109.55555555555556,111.11111111111111,16.01111111111111,0.842404
Shai Gilgeous-Alexander,2021-11-10,36,24,7,5,1,2.0,0.368,0.286,0.503,32.2,0.8,5,0.727,96.0,98.0,14.5,10,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6,5.4,4.5,0.8,2.4,0.4321,0.3641999999999999,0.726,27.85,108.2,109.8,15.86,1.12266
