Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_BRK,TM_PHO,OPP_ATL,OPP_BOS,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Kevin Durant,39,26,4,4,2,1.0,0.5,0.333,0.563,31.9,3.3,3,0.714,112.0,112.0,17.3,11,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.9,6.3,5.0,0.9,3.5,0.518,0.3332,0.9326,33.120000000000005,120.8,113.1,23.97,1.08508,10,2022,11,7,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
Kevin Durant,35,29,12,12,1,2.0,0.526,0.2,0.62,30.9,20.8,1,0.8,142.0,81.0,32.3,12,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.1,7.0,5.6,1.0,3.1,0.5262,0.3199,0.9326,32.7,123.9,109.8,25.35,0.984927,11,2022,11,9,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Kevin Durant,35,27,6,3,2,2.0,0.625,0.6,0.76,27.7,9.6,3,1.0,125.0,93.0,22.5,13,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.1,7.1,5.5,1.2,3.3,0.5186999999999999,0.3466,0.9437,32.66,120.7,105.0,24.57,0.983327,12,2022,11,12,5,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
Kevin Durant,38,31,9,7,0,2.0,0.5,0.667,0.686,30.7,11.3,3,0.867,131.0,120.0,27.4,14,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.9,7.4,5.9,1.2,3.1,0.5252,0.3883,0.9381,32.05,123.8,106.1,25.35,1.18621,13,2022,11,13,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
Kevin Durant,31,27,4,6,0,1.0,0.533,0.0,0.68,30.4,3.8,2,1.0,133.0,141.0,23.0,15,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28.9,7.5,6.0,1.0,3.0,0.5214,0.3483,0.9381,31.98,122.9,107.7,24.57,1.07164,14,2022,11,15,1,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336
Kevin Durant,39,35,8,3,0,1.0,0.591,0.25,0.663,35.4,2.1,4,0.8,112.0,107.0,23.6,16,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,29.8,7.8,6.1,0.7,3.1,0.5405,0.3533,0.9181,32.26,123.9,105.8,24.8,1.09767,15,2022,11,17,3,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419
Kevin Durant,36,26,7,7,1,1.0,0.563,0.0,0.666,29.4,1.3,4,1.0,123.0,108.0,21.9,17,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.8,7.6,6.1,0.7,3.2,0.5377,0.3133,0.9181,31.95,122.8,106.2,23.860000000000003,1.0465,16,2022,11,20,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
Kevin Durant,37,20,5,5,0,2.0,0.643,0.0,0.672,23.2,-0.7,3,1.0,115.0,127.0,17.2,18,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.6,7.2,6.0,0.6,2.8,0.5457,0.2633,0.9181,30.71,122.7,108.0,23.03,1.05362,17,2022,11,22,1,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336
Kevin Durant,33,12,7,5,0,3.0,0.5,0.4,0.6,19.7,-1.9,4,0.0,96.0,102.0,9.9,19,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26.0,7.0,5.4,0.6,3.0,0.5481,0.2699999999999999,0.8181,29.08,119.5,109.1,21.42,1.0942,18,2022,11,23,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Kevin Durant,39,36,9,8,0,2.0,0.484,0.25,0.549,42.3,2.9,5,0.75,106.0,122.0,23.8,20,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,7.1,6.0,0.6,3.2,0.5465,0.2699999999999999,0.7931,30.160000000000004,119.5,111.3,21.89,1.12925,19,2022,11,25,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
