Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_PHO,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Kevin Durant,37,18,11,3,0,1.0,0.318,0.5,0.372,28.1,-4.7,2,0.6,89.0,102.0,9.1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,11.0,3.0,0.0,2.0,0.318,0.5,0.6,28.1,89.0,102.0,9.1,0.0,0,2023,10,24,1,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
Kevin Durant,39,39,11,2,1,1.0,0.5,0.2,0.578,45.8,3.2,8,0.769,96.0,96.0,21.4,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5,11.0,2.5,0.5,5.0,0.409,0.35,0.6845,36.95,92.5,99.0,15.25,1.20081,1,2023,10,26,3,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
Kevin Durant,29,26,4,7,1,1.0,0.727,0.25,0.869,25.5,15.5,2,1.0,162.0,107.0,26.9,3,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27.666666666666668,8.666666666666666,4.0,0.6666666666666666,4.0,0.515,0.3166666666666666,0.7896666666666666,33.13333333333333,115.66666666666669,101.66666666666669,19.133333333333333,1.15828,2,2023,10,28,5,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
Kevin Durant,37,26,2,7,2,0.0,0.632,0.333,0.654,29.5,0.3,5,0.5,111.0,115.0,19.6,4,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,27.25,7.0,4.75,1.0,4.25,0.54425,0.32075,0.7172499999999999,32.225,114.5,105.0,19.25,1.14645,3,2023,10,31,1,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
Kevin Durant,37,28,6,1,0,2.0,0.667,0.6,0.738,27.3,-0.9,3,0.556,120.0,132.0,19.6,5,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,27.4,6.8,4.0,0.8,4.0,0.5688000000000001,0.3766,0.6849999999999999,31.24,115.6,110.4,19.32,1.09287,4,2023,11,2,3,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419
Kevin Durant,36,31,8,3,1,2.0,0.45,0.25,0.593,36.4,3.3,5,0.857,108.0,116.0,21.7,6,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,7.0,3.8333333333333335,0.8333333333333334,4.166666666666667,0.549,0.3555,0.7136666666666667,32.1,114.33333333333331,111.33333333333331,19.716666666666665,0.985565,5,2023,11,4,5,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
Kevin Durant,35,41,4,5,1,2.0,0.519,0.333,0.635,41.9,9.2,3,1.0,133.0,109.0,31.4,7,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.857142857142858,6.571428571428571,4.0,0.8571428571428571,4.0,0.5447142857142857,0.3522857142857143,0.7545714285714286,33.5,117.0,111.0,21.385714285714283,1.21966,6,2023,11,5,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
Kevin Durant,42,25,7,9,2,1.0,0.438,0.4,0.626,26.6,3.4,6,1.0,116.0,107.0,21.3,8,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.25,6.625,4.625,1.0,4.25,0.531375,0.35825,0.78525,32.6375,116.875,110.5,21.375,1.12944,7,2023,11,8,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Kevin Durant,39,38,9,5,0,0.0,0.481,0.667,0.605,37.0,4.1,4,0.8,121.0,126.0,24.5,9,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.22222222222222,6.888888888888889,4.666666666666667,0.8888888888888888,4.222222222222222,0.5257777777777778,0.3925555555555556,0.7868888888888889,33.12222222222223,117.33333333333331,112.22222222222224,21.72222222222222,1.27729,8,2023,11,10,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
Kevin Durant,36,28,9,4,1,2.0,0.389,0.6,0.613,30.1,12.0,3,1.0,127.0,115.0,22.7,10,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,7.1,4.6,0.9,4.1,0.5121,0.4133,0.8082,32.82,118.3,112.5,21.82,1.00683,9,2023,11,12,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
Kevin Durant,35,31,6,6,0,1.0,0.733,1.0,0.857,27.1,10.5,2,1.0,161.0,124.0,28.4,11,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.3,6.6,4.9,0.9,4.1,0.5536000000000001,0.4633,0.8482000000000001,32.72,125.5,114.7,23.75,0.987413,10,2023,11,15,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Kevin Durant,33,38,9,9,0,0.0,0.682,0.75,0.83,32.6,19.5,1,1.0,158.0,133.0,36.2,12,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,31.2,6.4,5.6,0.8,3.4,0.5718,0.5183,0.8713000000000001,31.4,131.7,118.4,25.23,0.986916,11,2023,11,17,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
Kevin Durant,46,39,8,10,2,2.0,0.519,0.444,0.648,35.6,5.7,7,1.0,116.0,116.0,30.7,13,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,32.5,6.8,5.9,0.9,3.9,0.5509999999999999,0.5377,0.8713000000000001,32.410000000000004,127.1,119.3,25.61,1.30951,12,2023,11,19,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
Kevin Durant,37,31,4,9,0,1.0,0.619,1.0,0.694,32.2,6.3,3,1.0,140.0,125.0,25.1,14,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,7.0,6.1,0.7,3.7,0.5497000000000001,0.6043999999999999,0.9213,32.68,130.0,120.3,26.160000000000004,1.363,13,2023,11,21,1,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336
Kevin Durant,34,32,8,2,0,2.0,0.5,0.75,0.777,32.8,4.9,6,1.0,123.0,112.0,23.4,15,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.4,7.2,6.2,0.7,4.0,0.533,0.6194,0.9657,33.230000000000004,130.3,118.3,26.54,1.22298,14,2023,11,22,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Kevin Durant,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,16,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.3,6.4,5.9,0.6,3.5,0.488,0.5944,0.8800000000000001,29.59,119.5,106.7,24.37,1.10379,15,2023,11,24,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
Kevin Durant,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,17,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.2,6.0,5.4,0.5,3.2,0.4361,0.5610999999999999,0.78,25.4,106.2,95.8,21.23,0.977434,16,2023,11,26,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
Kevin Durant,36,30,4,6,1,0.0,0.367,0.25,0.46,40.2,4.0,1,1.0,103.0,118.0,18.4,18,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26.7,5.7,5.1,0.4,2.7,0.429,0.5461,0.78,26.76,104.9,96.9,20.94,1.1199,17,2023,11,29,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Kevin Durant,36,30,4,11,1,3.0,0.32,0.333,0.488,39.2,9.2,1,1.0,118.0,118.0,25.9,19,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.9,5.2,5.7,0.5,2.4,0.4128999999999999,0.5126999999999999,0.8,26.98,104.6,96.1,21.08,1.27588,18,2023,12,1,4,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191
Kevin Durant,33,27,2,5,1,1.0,0.714,0.667,0.79,23.6,12.4,2,0.714,144.0,111.0,23.8,20,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.8,4.5,5.8,0.5,2.3,0.4454000000000001,0.5194,0.7714000000000001,26.33,106.3,95.7,21.19,0.948537,19,2023,12,2,5,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146
