Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_IND,TM_TOR,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Pascal Siakam,34,15,7,6,1,0.0,0.294,0.6,0.419,25.2,-1.3,2,1.0,87.0,94.0,9.6,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,7.0,6.0,1.0,2.0,0.294,0.6,1.0,25.2,87.0,94.0,9.6,0.0,0,2023,10,25,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
Pascal Siakam,41,18,8,2,0,0.0,0.467,0.2,0.523,22.4,-4.1,3,0.6,93.0,98.0,9.1,2,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,7.5,4.0,0.5,2.5,0.3805,0.4,0.8,23.8,90.0,96.0,9.35,1.21509,1,2023,10,27,4,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
Pascal Siakam,36,11,7,4,0,1.0,0.375,0.4,0.564,14.4,-4.5,2,0.75,113.0,124.0,8.6,3,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.666666666666666,7.333333333333333,4.0,0.3333333333333333,2.333333333333333,0.3786666666666667,0.3999999999999999,0.7833333333333333,20.666666666666668,97.66666666666669,105.33333333333331,9.1,1.13244,2,2023,10,28,5,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
Pascal Siakam,35,20,6,3,1,0.0,0.429,0.0,0.448,27.4,1.4,0,0.667,103.0,109.0,13.4,4,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,7.0,3.75,0.5,1.75,0.39125,0.3,0.75425,22.35,99.0,106.25,10.175,1.18616,3,2023,10,30,0,-0.8660254037844386,0.5000000000000001,0.0,1.0
Pascal Siakam,33,26,6,7,0,0.0,0.692,0.625,0.908,22.3,11.0,3,1.0,157.0,120.0,23.0,5,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,6.8,4.4,0.4,2.0,0.4513999999999999,0.365,0.8033999999999999,22.34,110.6,109.0,12.74,1.08185,4,2023,11,1,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Pascal Siakam,33,10,3,6,0,0.0,0.455,0.0,0.455,17.7,-6.3,2,0.0,98.0,122.0,5.8,6,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666668,6.166666666666667,4.666666666666667,0.3333333333333333,2.0,0.4519999999999999,0.3041666666666666,0.6694999999999999,21.566666666666663,108.5,111.16666666666669,11.583333333333334,0.92257,5,2023,11,2,3,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419
Pascal Siakam,36,8,6,5,1,0.0,0.167,0.25,0.3,19.7,-13.7,3,1.0,73.0,111.0,2.5,7,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.428571428571429,6.142857142857143,4.714285714285714,0.4285714285714285,2.142857142857143,0.4112857142857143,0.2964285714285714,0.7167142857142856,21.3,103.42857142857144,111.14285714285714,10.285714285714286,1.18323,6,2023,11,5,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
Pascal Siakam,37,31,12,5,0,0.0,0.6,0.0,0.579,31.5,2.2,3,0.25,118.0,116.0,23.2,8,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.375,6.875,4.75,0.375,2.25,0.434875,0.259375,0.6583749999999999,22.575,105.25,111.75,11.9,0.95394,7,2023,11,8,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Pascal Siakam,28,17,7,3,3,0.0,0.353,0.0,0.433,36.4,0.1,3,0.833,84.0,113.0,12.1,9,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.333333333333332,6.888888888888889,4.555555555555555,0.6666666666666666,2.333333333333333,0.4257777777777777,0.2305555555555555,0.6777777777777777,24.11111111111111,102.88888888888889,111.88888888888889,11.922222222222222,1.09828,8,2023,11,11,5,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
Pascal Siakam,38,39,11,7,3,0.0,0.652,0.0,0.669,38.4,10.9,6,0.643,119.0,101.0,32.5,10,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.5,7.3,4.8,0.9,2.7,0.4484,0.2075,0.6743,25.54,104.5,110.8,13.98,0.965109,9,2023,11,13,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
