Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_TOR,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_SAC,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Scottie Barnes,26,9,6,5,0,0.0,0.214,0.0,0.286,28.0,-14.6,2,0.75,83.0,141.0,2.5,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,5.0,0.0,2.0,0.214,0.0,0.75,28.0,83.0,141.0,2.5,0.0,0,2024,10,23,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
Scottie Barnes,36,27,5,4,2,1.0,0.727,0.0,0.807,22.2,8.5,4,0.846,141.0,109.0,24.7,2,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,5.5,4.5,1.0,3.0,0.4705,0.0,0.798,25.1,112.0,125.0,13.6,1.21242,1,2024,10,25,4,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
Scottie Barnes,37,20,8,6,1,0.0,0.474,0.25,0.503,29.2,-3.8,6,0.5,90.0,116.0,11.1,3,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.666666666666668,6.333333333333333,5.0,1.0,4.0,0.4716666666666667,0.0833333333333333,0.6986666666666667,26.46666666666667,104.66666666666669,122.0,12.766666666666666,1.10206,2,2024,10,26,5,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
Scottie Barnes,35,21,12,9,5,1.0,0.474,0.333,0.506,27.9,12.8,4,0.5,105.0,99.0,22.5,4,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.25,7.75,6.0,2.0,4.0,0.4722499999999999,0.14575,0.649,26.825,104.75,116.25,15.2,1.11012,3,2024,10,28,0,-0.8660254037844386,0.5000000000000001,0.0,1.0
Scottie Barnes,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,6.2,4.8,1.6,3.2,0.3777999999999999,0.1166,0.5192,21.46,83.8,93.0,12.16,1.11614,4,2024,10,30,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
Scottie Barnes,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.833333333333334,5.166666666666667,4.0,1.3333333333333333,2.6666666666666665,0.3148333333333333,0.0971666666666666,0.4326666666666667,17.883333333333333,69.83333333333333,77.5,10.133333333333333,1.24376,5,2024,11,1,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
Scottie Barnes,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,4.428571428571429,3.4285714285714284,1.1428571428571428,2.2857142857142856,0.2698571428571428,0.0832857142857142,0.3708571428571429,15.328571428571427,59.85714285714285,66.42857142857143,8.685714285714285,1.08083,6,2024,11,2,5,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
Scottie Barnes,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.625,3.875,3.0,1.0,2.0,0.2361249999999999,0.072875,0.3245,13.4125,52.375,58.125,7.6,1.16615,7,2024,11,4,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
Scottie Barnes,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.555555555555555,3.4444444444444446,2.6666666666666665,0.8888888888888888,1.7777777777777777,0.2098888888888888,0.0647777777777777,0.2884444444444444,11.922222222222222,46.55555555555556,51.66666666666666,6.755555555555556,1.10901,8,2024,11,6,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Scottie Barnes,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,3.1,2.4,0.8,1.6,0.1888999999999999,0.0583,0.2596,10.73,41.9,46.5,6.08,0.983319,9,2024,11,9,5,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
Scottie Barnes,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,11,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,2.5,1.9,0.8,1.4,0.1674999999999999,0.0583,0.1846,7.93,33.6,32.4,5.83,1.05172,10,2024,11,10,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
Scottie Barnes,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,12,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,2.0,1.5,0.6,1.0,0.0948,0.0583,0.0999999999999999,5.709999999999999,19.5,21.5,3.3599999999999994,1.11992,11,2024,11,12,1,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336
Scottie Barnes,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,13,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.2,0.9,0.5,0.4,0.0474,0.0333,0.05,2.79,10.5,9.9,2.25,1.15428,12,2024,11,15,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
Scottie Barnes,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,14,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15181,13,2024,11,16,5,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
Scottie Barnes,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,15,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15183,14,2024,11,18,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
Scottie Barnes,27,17,3,6,1,0.0,0.455,0.4,0.623,25.9,7.3,2,0.833,125.0,111.0,14.2,16,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.3,0.6,0.1,0.2,0.0455,0.04,0.0833,2.59,12.5,11.1,1.42,1.17899,15,2024,11,21,3,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419
Scottie Barnes,34,18,7,7,3,1.0,0.357,0.167,0.467,23.2,8.1,1,0.583,116.0,113.0,17.9,17,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.0,1.3,0.4,0.3,0.0812,0.0567,0.1416,4.909999999999999,24.1,22.4,3.2099999999999995,1.02512,16,2024,11,24,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
Scottie Barnes,37,31,14,7,1,1.0,0.462,0.375,0.55,32.4,19.5,1,0.8,135.0,109.0,29.8,18,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,2.4,2.0,0.5,0.4,0.1274,0.0942,0.2216,8.15,37.6,33.3,6.19,1.18148,17,2024,11,25,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
Scottie Barnes,32,17,12,7,0,1.0,0.304,0.167,0.356,37.7,-11.1,5,0.5,83.0,92.0,8.3,19,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,3.6,2.7,0.5,0.9,0.1578,0.1109,0.2716,11.92,45.9,42.5,7.0200000000000005,1.08766,18,2024,11,27,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Scottie Barnes,38,24,10,10,1,1.0,0.533,0.375,0.68,26.7,6.8,5,0.833,122.0,120.0,23.0,20,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,4.6,3.7,0.6,1.4,0.2110999999999999,0.1484,0.3549,14.59,58.1,54.5,9.32,0.938826,19,2024,11,29,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
Scottie Barnes,35,23,10,9,0,0.0,0.529,0.4,0.599,28.1,3.2,4,0.6,114.0,115.0,18.8,21,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,5.6,4.6,0.6,1.8,0.264,0.1884,0.4149,17.4,69.5,66.0,11.2,1.10917,20,2024,12,1,6,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334
Scottie Barnes,36,35,6,9,1,1.0,0.65,0.429,0.744,35.1,9.0,7,0.75,121.0,105.0,27.0,22,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,6.2,5.5,0.7,2.5,0.329,0.2313,0.4899,20.910000000000004,81.6,76.5,13.9,1.24102,21,2024,12,3,1,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336
Scottie Barnes,31,12,12,8,0,2.0,0.385,0.286,0.462,22.4,3.6,4,0.0,91.0,123.0,12.3,23,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.7,7.4,6.3,0.7,2.9,0.3675,0.2599,0.4899,23.15,90.7,88.8,15.13,1.06707,22,2024,12,5,3,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419
Scottie Barnes,38,19,8,14,3,1.0,0.471,0.429,0.559,22.4,10.5,3,0.0,119.0,118.0,23.6,24,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6,8.2,7.7,1.0,3.2,0.4145999999999999,0.3028,0.4899,25.39,102.6,100.6,17.490000000000002,0.957573,23,2024,12,7,5,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146
Scottie Barnes,23,15,5,3,0,0.0,0.455,0.375,0.631,25.6,3.4,2,1.0,120.0,122.0,10.1,25,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.1,8.7,8.0,1.0,3.4,0.4601,0.3403,0.5899,27.95,114.6,112.8,18.5,1.17159,24,2024,12,9,0,-2.4492935982947064e-16,1.0,0.0,1.0
Scottie Barnes,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,26,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,8.4,7.4,0.9,3.2,0.4145999999999999,0.3003,0.5065999999999999,25.36,102.1,101.7,17.080000000000002,1.13625,25,2024,12,12,3,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419
Scottie Barnes,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,27,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,7.7,6.7,0.6,3.1,0.3789,0.2835999999999999,0.4483,23.04,90.5,90.4,15.29,0.884338,26,2024,12,16,0,-2.4492935982947064e-16,1.0,0.0,1.0
Scottie Barnes,36,16,3,6,0,2.0,0.455,0.333,0.606,20.5,1.0,3,0.8,110.0,114.0,11.8,28,1,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1,6.6,6.6,0.5,3.3,0.3782,0.2794,0.4483,21.85,88.0,90.9,13.49,1.26721,27,2024,12,19,3,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419
Scottie Barnes,39,6,10,4,3,0.0,0.133,0.0,0.179,19.5,-11.7,2,0.5,60.0,104.0,2.3,29,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.4,6.3,0.8,3.0,0.3611,0.2627,0.4483,20.03,85.7,92.1,12.89,1.09232,28,2024,12,22,6,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334
Scottie Barnes,36,24,3,8,1,0.0,0.5,0.0,0.53,33.7,-7.9,5,0.667,99.0,134.0,13.7,30,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.7,6.1,0.8,3.0,0.3578,0.2252,0.4317,20.73,83.4,93.5,11.96,0.973058,29,2024,12,23,0,-2.4492935982947064e-16,1.0,0.0,1.0
Scottie Barnes,36,26,6,8,1,0.0,0.5,0.4,0.597,25.4,1.0,3,1.0,117.0,136.0,20.2,31,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,5.3,6.0,0.9,2.9,0.3549,0.2251999999999999,0.4716999999999999,20.46,83.7,95.6,12.1,1.0238,30,2024,12,26,3,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419
Scottie Barnes,35,19,8,5,3,0.0,0.583,0.0,0.669,23.8,-1.0,8,1.0,93.0,120.0,14.3,32,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7,5.5,5.6,1.1,3.0,0.3482,0.1823,0.4967,19.33,80.9,97.1,10.83,1.1,31,2024,12,29,6,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334
Scottie Barnes,31,16,13,2,2,1.0,0.368,0.125,0.412,35.0,-2.8,6,1.0,68.0,121.0,8.3,33,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1,5.6,5.0,1.3,3.2,0.3465,0.1662,0.5967,20.59,78.6,96.9,10.43,1.23092,32,2024,12,31,1,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336
Scottie Barnes,38,33,13,5,2,1.0,0.778,0.75,0.874,26.4,10.3,3,1.0,147.0,109.0,31.9,34,1,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,6.1,4.1,1.2,3.2,0.3772,0.1983,0.6967000000000001,20.99,81.4,96.0,11.26,1.09574,33,2025,1,1,2,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
Scottie Barnes,37,20,9,3,1,0.0,0.474,0.5,0.503,27.7,-2.1,1,0.0,99.0,118.0,14.3,35,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,6.5,4.1,1.3,3.1,0.3791,0.2108,0.5967,21.2,79.3,95.6,11.68,1.01658,34,2025,1,3,4,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
Scottie Barnes,32,21,2,5,2,1.0,0.556,0.0,0.556,31.0,-1.7,5,0.5,92.0,124.0,13.4,36,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,6.7,4.6,1.5,3.6,0.4347,0.2108,0.6467,24.3,88.5,108.0,13.02,1.02715,35,2025,1,6,0,0.49999999999999994,0.8660254037844387,0.0,1.0
