Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_CLE,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Donovan Mitchell,35,31,2,9,2,0.0,0.571,0.25,0.656,35.6,11.6,3,0.833,126.0,112.0,25.0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,2.0,9.0,2.0,3.0,0.571,0.25,0.833,35.6,126.0,112.0,25.0,0.0,0,2022,10,19,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
Donovan Mitchell,35,32,9,8,1,0.0,0.526,0.667,0.697,34.1,10.5,4,0.889,136.0,100.0,27.6,2,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.5,5.5,8.5,1.5,3.5,0.5485,0.4585,0.861,34.85,131.0,106.0,26.3,1.04669,1,2022,10,22,5,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
Donovan Mitchell,45,37,5,4,3,1.0,0.414,0.417,0.561,38.6,6.7,6,0.889,110.0,101.0,23.1,3,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.333333333333336,5.333333333333333,7.0,2.0,4.333333333333333,0.5036666666666666,0.4446666666666667,0.8703333333333333,36.1,124.0,104.33333333333331,25.23333333333333,1.02617,2,2022,10,23,6,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
Donovan Mitchell,37,14,4,8,2,0.0,0.263,0.143,0.337,25.0,-0.3,1,0.75,93.0,98.0,9.7,4,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5,5.0,7.25,2.0,3.5,0.4435,0.36925,0.8402499999999999,33.325,116.25,102.75,21.35,1.15173,3,2022,10,26,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
Donovan Mitchell,46,41,4,3,1,0.0,0.6,0.556,0.742,34.3,4.6,7,1.0,121.0,116.0,25.2,5,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,4.8,6.4,1.8,4.2,0.4747999999999999,0.4065999999999999,0.8722,33.52,117.2,105.4,22.12,1.17951,4,2022,10,28,4,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
Donovan Mitchell,37,38,3,12,1,2.0,0.6,0.615,0.808,31.9,21.3,4,0.75,146.0,108.0,34.1,6,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.166666666666664,4.5,7.333333333333333,1.6666666666666667,4.166666666666667,0.4956666666666666,0.4413333333333333,0.8518333333333333,33.25,122.0,105.83333333333331,24.116666666666664,1.09162,5,2022,10,30,6,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
Donovan Mitchell,44,25,4,6,1,2.0,0.407,0.333,0.463,26.8,6.2,0,0.0,101.0,103.0,17.1,7,1,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.142857142857142,4.428571428571429,7.142857142857143,1.5714285714285714,3.571428571428572,0.483,0.4258571428571428,0.7301428571428571,32.32857142857143,119.0,105.42857142857144,23.11428571428572,0.944249,6,2022,11,2,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Donovan Mitchell,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.25,3.875,6.25,1.375,3.125,0.422625,0.372625,0.638875,28.2875,104.125,92.25,20.225,1.10727,7,2022,11,4,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
Donovan Mitchell,37,33,5,2,1,1.0,0.588,0.143,0.726,29.7,10.6,3,0.923,134.0,101.0,26.3,9,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.88888888888889,4.0,5.777777777777778,1.3333333333333333,3.111111111111111,0.441,0.3471111111111111,0.6704444444444444,28.444444444444443,107.44444444444444,93.22222222222224,20.9,1.3062,8,2022,11,6,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
Donovan Mitchell,39,30,1,2,0,0.0,0.667,0.727,0.919,22.0,5.9,3,0.667,141.0,129.0,19.8,10,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.1,3.7,5.4,1.2,3.1,0.4636,0.3851,0.6701,27.8,110.8,96.8,20.79,1.07566,9,2022,11,7,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
