Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_CLE,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Donovan Mitchell,35,22,1,1,1,0.0,0.417,0.667,0.709,23.3,3.1,1,1.0,135.0,116.0,15.8,11,1,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.7,3.1,3.9,1.1,2.6,0.4619,0.406,0.7666999999999999,31.33,111.8,113.4,15.01,0.999306,10,2024,11,9,5,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
Donovan Mitchell,35,36,8,2,4,0.0,0.462,0.438,0.628,34.1,15.1,0,0.833,129.0,102.0,29.6,12,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4,3.7,3.6,1.5,2.4,0.47,0.4373,0.8,30.99,115.9,112.6,17.169999999999998,1.05031,11,2024,11,11,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
Donovan Mitchell,34,23,13,9,2,0.0,0.429,0.385,0.548,28.3,13.0,0,0.0,133.0,104.0,24.5,13,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.7,4.6,4.0,1.3,1.9,0.4518,0.4213,0.7333000000000001,30.500000000000007,116.6,112.3,17.11,1.09078,12,2024,11,13,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Donovan Mitchell,34,37,7,4,1,2.0,0.522,0.538,0.709,32.7,9.5,1,0.857,135.0,113.0,30.8,14,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.9,5.1,3.9,1.4,1.6,0.4511,0.4376,0.719,30.690000000000005,118.4,112.0,18.630000000000003,1.1529,13,2024,11,15,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
Donovan Mitchell,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,15,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,4.8,3.2,1.1,1.4,0.4011,0.3976,0.719,27.610000000000003,106.5,101.8,16.630000000000003,1.16803,14,2024,11,17,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
Donovan Mitchell,40,35,8,3,0,0.0,0.448,0.273,0.538,37.3,-0.5,1,0.75,114.0,130.0,21.4,16,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.8,5.3,3.4,1.1,1.4,0.3859,0.3849,0.694,27.97,105.4,103.9,17.4,1.2,15,2024,11,19,1,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336
Donovan Mitchell,20,10,2,2,2,0.0,0.4,0.2,0.46,23.5,-4.6,0,0.5,119.0,103.0,7.8,17,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8,5.2,3.2,1.3,1.3,0.3819,0.3549,0.6439999999999999,26.630000000000003,105.5,101.8,16.18,1.28249,16,2024,11,20,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Donovan Mitchell,35,26,4,1,1,0.0,0.556,0.556,0.705,25.4,2.7,3,1.0,118.0,111.0,16.5,18,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0,5.2,2.9,1.2,1.2,0.4042,0.3676,0.694,26.29,109.6,101.6,17.119999999999997,1.04895,17,2024,11,24,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
Donovan Mitchell,36,30,4,7,2,1.0,0.417,0.286,0.545,33.4,2.2,3,0.75,110.0,128.0,21.0,19,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.1,5.2,3.3,1.3,1.3,0.3959,0.3629,0.6689999999999999,26.57,107.6,102.0,17.06,1.14134,18,2024,11,27,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Donovan Mitchell,35,12,11,6,2,0.0,0.217,0.2,0.261,30.2,-6.6,2,0.0,68.0,110.0,5.0,20,0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.1,5.8,3.5,1.5,1.1,0.3868,0.3543,0.569,26.82,106.1,101.7,17.240000000000002,1.13152,19,2024,11,29,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
