Player,Date,TM,Home/Away,OPP,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc
Jimmy Butler,2022-01-08,MIA,@,PHO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jimmy Butler,2022-01-12,MIA,@,ATL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jimmy Butler,2022-01-14,MIA,,ATL,32:33,23,3,10,2,1,.538,,.678,26.6,11.4,2,1.000,149,122,24.9
Jimmy Butler,2022-01-15,MIA,,PHI,35:15,8,5,9,2,1,.091,.000,.284,18.8,0.2,1,.857,91,113,10.2
Jimmy Butler,2022-01-17,MIA,,TOR,36:20,19,10,10,1,0,.429,.000,.542,25.9,6.4,3,.875,122,112,20.4
Jimmy Butler,2022-01-19,MIA,,POR,15:14,4,3,3,0,0,.250,,.410,20.6,-8.7,2,1.000,88,108,3.0
Jimmy Butler,2022-01-21,MIA,@,ATL,36:28,13,8,8,2,0,.357,.333,.437,21.1,0.6,2,1.000,107,119,13.2
Jimmy Butler,2022-01-23,MIA,,LAL,38:36,20,10,12,2,1,.389,.250,.495,25.2,7.6,1,1.000,122,104,22.9
Jimmy Butler,2022-01-26,MIA,,NYK,29:15,22,6,5,2,0,.875,.000,.920,26.0,10.9,4,.889,146,101,21.3
Jimmy Butler,2022-01-28,MIA,,LAC,37:19,26,6,9,3,1,.417,.000,.683,22.4,14.0,1,1.000,162,105,30.4
Jimmy Butler,2022-01-29,MIA,,TOR,52:27,37,13,10,3,2,.560,.200,.620,29.5,15.7,5,.727,124,101,34.6
Jimmy Butler,2022-01-31,MIA,@,BOS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jimmy Butler,2022-02-01,MIA,@,TOR,40:23,16,8,12,2,0,.300,.000,.556,19.7,7.7,3,1.000,127,116,20.4
Jimmy Butler,2022-02-03,MIA,@,SAS,25:07,17,7,3,0,0,.500,.000,.555,28.2,1.1,0,1.000,129,104,14.2
Jimmy Butler,2022-02-05,MIA,@,CHO,29:18,27,6,4,0,1,.769,.000,.840,26.7,15.9,2,1.000,154,95,25.6
Jimmy Butler,2022-02-07,MIA,@,WAS,29:43,19,3,4,1,0,.538,,.607,30.7,-4.5,4,.833,109,106,12.6
Jimmy Butler,2022-02-10,MIA,@,NOP,35:36,29,8,3,4,1,.563,.000,.696,30.2,14.0,3,1.000,134,95,28.0
Jimmy Butler,2022-02-12,MIA,,BRK,34:10,13,6,3,0,0,.364,.000,.477,21.3,-6.5,3,.833,100,117,7.8
Jimmy Butler,2022-02-15,MIA,,DAL,37:51,29,10,3,0,0,.444,.000,.600,30.8,9.5,2,.929,134,124,23.1
Jimmy Butler,2022-02-17,MIA,@,CHO,51:05,15,10,8,1,2,.208,.125,.291,26.8,-4.9,4,1.000,74,97,6.8
Jimmy Butler,2022-02-25,MIA,@,NYK,33:37,23,2,2,2,0,.450,,.480,33.5,-3.1,1,.556,96,102,13.2
Jimmy Butler,2022-02-26,MIA,,SAS,29:53,27,3,3,2,0,.636,.500,.767,29.9,5.2,3,.800,136,121,22.1
Jimmy Butler,2022-02-28,MIA,,CHI,28:33,15,7,4,4,0,.308,.000,.431,30.6,1.6,2,.700,98,92,13.6
Jimmy Butler,2022-03-02,MIA,@,MIL,35:08,6,3,2,0,2,.143,.000,.202,19.3,-15.6,1,1.000,55,122,-0.3
Jimmy Butler,2022-03-03,MIA,@,BRK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jimmy Butler,2022-03-05,MIA,,PHI,33:14,21,4,5,2,1,.400,.500,.529,36.9,3.5,4,.727,105,97,14.7
Jimmy Butler,2022-03-07,MIA,,HOU,29:17,21,7,4,1,1,.636,,.702,24.8,9.6,2,.778,142,107,20.7
Jimmy Butler,2022-03-09,MIA,,PHO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jimmy Butler,2022-03-11,MIA,,CLE,33:51,24,4,5,3,1,.500,.000,.622,26.9,11.0,1,.833,135,103,24.0
Jimmy Butler,2022-03-12,MIA,,MIN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jimmy Butler,2022-03-15,MIA,,DET,18:04,8,2,3,0,1,.222,.000,.372,28.5,0.4,0,1.000,99,104,6.3
Jimmy Butler,2022-03-18,MIA,,OKC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jimmy Butler,2022-03-21,MIA,@,PHI,34:48,27,5,6,1,0,.533,.000,.680,28.5,8.9,1,1.000,142,123,25.4
Jimmy Butler,2022-03-23,MIA,,GSW,40:31,20,5,3,2,0,.467,1.000,.581,19.7,1.1,0,.800,127,128,16.7
Jimmy Butler,2022-03-25,MIA,,NYK,37:01,30,7,7,1,1,.647,.500,.731,33.1,12.7,4,.875,138,129,27.6
Jimmy Butler,2022-03-26,MIA,,BRK,25:00,7,6,4,1,1,.222,.000,.325,21.0,-1.9,1,.750,88,111,6.0
Jimmy Butler,2022-03-28,MIA,,SAC,33:52,27,5,7,0,0,.714,.600,.857,24.7,12.1,3,1.000,154,108,25.0
Jimmy Butler,2022-03-30,MIA,@,BOS,36:48,24,3,2,1,0,.529,.000,.585,28.0,-0.1,2,.750,109,103,15.8
Jimmy Butler,2022-04-02,MIA,@,CHI,35:03,22,7,6,1,0,.583,.667,.729,22.7,7.1,2,.857,145,117,20.9
Jimmy Butler,2022-04-03,MIA,@,TOR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jimmy Butler,2022-04-05,MIA,,CHO,35:44,27,5,8,2,0,.600,.500,.729,26.1,7.0,3,.875,145,115,25.4
Jimmy Butler,2022-04-08,MIA,,ATL,37:16,20,4,1,1,0,.500,.000,.654,24.5,-4.2,4,.833,110,118,12.7
Jimmy Butler,2022-04-10,MIA,@,ORL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
