Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_BOS,OPP_ATL,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Jayson Tatum,33,30,7,2,2,1.0,0.429,0.462,0.536,39.2,4.3,2,0.0,101.0,115.0,18.6,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,7.0,2.0,2.0,2.0,0.429,0.462,0.0,39.2,101.0,115.0,18.6,0.0,0,2020,12,23,2,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434
Jayson Tatum,36,20,8,2,1,1.0,0.409,0.333,0.455,27.4,-1.1,3,0.0,91.0,127.0,10.7,2,1,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,7.5,2.0,1.5,2.5,0.419,0.3975,0.0,33.3,96.0,121.0,14.65,0.864157,1,2020,12,25,4,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191
Jayson Tatum,36,25,11,5,0,1.0,0.429,0.333,0.549,34.6,-1.1,5,1.0,97.0,110.0,16.0,3,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,8.666666666666666,3.0,1.0,3.333333333333333,0.4223333333333333,0.376,0.3333333333333333,33.733333333333334,96.33333333333331,117.33333333333331,15.1,0.968479,2,2020,12,27,6,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334
Jayson Tatum,40,27,11,4,3,0.0,0.529,0.333,0.631,27.3,4.0,4,0.8,115.0,109.0,22.6,4,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,9.25,3.25,1.5,3.5,0.449,0.36525,0.45,32.125,101.0,115.25,16.975,1.04124,3,2020,12,29,1,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336
Jayson Tatum,23,16,4,3,1,0.0,0.5,0.6,0.643,22.7,5.8,0,1.0,140.0,106.0,14.3,5,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,8.2,3.2,1.4,2.8,0.4592,0.4122,0.5599999999999999,30.24,108.8,113.4,16.44,0.97862,4,2020,12,30,2,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434
Jayson Tatum,37,28,6,2,1,1.0,0.458,0.273,0.534,35.0,1.9,3,0.6,96.0,99.0,16.3,6,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.33333333333333,7.833333333333333,3.0,1.3333333333333333,2.833333333333333,0.459,0.389,0.5666666666666667,31.03333333333333,106.66666666666669,111.0,16.416666666666668,1.08984,5,2021,1,1,4,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
Jayson Tatum,37,24,8,12,0,2.0,0.455,0.5,0.545,26.2,11.0,0,0.0,144.0,125.0,25.2,7,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.285714285714285,7.857142857142857,4.285714285714286,1.1428571428571428,2.4285714285714284,0.4584285714285714,0.4048571428571428,0.4857142857142857,30.342857142857145,112.0,113.0,17.67142857142857,0.8979,6,2021,1,3,6,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
Jayson Tatum,32,40,6,2,0,2.0,0.579,0.625,0.809,33.0,18.9,1,1.0,167.0,108.0,32.7,8,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26.25,7.625,4.0,1.0,2.25,0.4735,0.432375,0.55,30.675,118.875,112.375,19.55,1.1642,7,2021,1,4,0,0.49999999999999994,0.8660254037844387,0.0,1.0
Jayson Tatum,38,27,5,4,1,0.0,0.476,0.625,0.617,27.4,6.1,2,1.0,123.0,116.0,18.0,9,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.33333333333333,7.333333333333333,4.0,1.0,2.2222222222222223,0.4737777777777778,0.4537777777777777,0.6000000000000001,30.31111111111112,119.33333333333331,112.77777777777776,19.37777777777778,0.876446,8,2021,1,6,2,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
Jayson Tatum,35,32,5,2,1,0.0,0.519,0.333,0.583,35.8,1.7,4,1.0,105.0,106.0,18.2,10,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.9,7.1,3.8,1.0,2.4,0.4783,0.4417,0.64,30.860000000000003,117.9,112.1,19.26,1.23522,9,2021,1,8,4,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
