Player,Date,TM,Home/Away,OPP,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc
Brandon Ingram,2024-01-23,NOP,,UTA,30:38,18,5,6,0,0,.444,.000,.477,26.0,-8.0,1,1.000,116,121,13.3
Brandon Ingram,2024-01-26,NOP,,OKC,33:32,12,4,9,0,2,.556,,.536,21.4,0.4,5,.400,89,112,9.2
Brandon Ingram,2024-01-27,NOP,@,MIL,27:52,26,6,1,0,0,.500,1.000,.604,33.8,1.3,1,.750,117,138,17.7
Brandon Ingram,2024-01-29,NOP,@,BOS,36:19,28,7,6,1,1,.500,.250,.553,33.2,5.6,2,.667,115,121,21.2
Brandon Ingram,2024-01-31,NOP,@,HOU,36:09,24,10,4,0,2,.474,.000,.543,34.3,-1.4,6,.857,104,106,15.1
Brandon Ingram,2024-02-02,NOP,@,SAS,36:24,19,4,6,2,1,.467,.500,.567,21.8,1.1,2,1.000,119,116,16.6
Brandon Ingram,2024-02-05,NOP,,TOR,29:57,41,6,9,0,1,.762,.727,.956,29.4,35.7,0,1.000,200,107,41.5
Brandon Ingram,2024-02-07,NOP,@,LAC,35:31,15,8,6,1,1,.500,.000,.504,21.3,-0.6,2,.500,107,110,14.3
Brandon Ingram,2024-02-09,NOP,@,LAL,34:53,22,7,7,0,3,.412,.000,.536,27.6,0.7,2,1.000,121,135,19.2
Brandon Ingram,2024-02-10,NOP,@,POR,36:11,17,4,9,1,1,.381,.000,.373,38.7,-8.0,5,.250,82,101,8.1
Brandon Ingram,2024-02-12,NOP,@,MEM,36:11,16,2,6,1,1,.500,.333,.554,25.7,-3.2,6,.000,87,95,7.5
Brandon Ingram,2024-02-14,NOP,,WAS,34:33,18,3,8,2,0,.462,.667,.575,20.7,-0.9,1,.667,130,128,16.8
Brandon Ingram,2024-02-22,NOP,,HOU,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
