Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,PTS_rolling_avg,TRB_rolling_avg,TM_ATL,TM_BOS,TM_BRK,TM_CHI,TM_CHO,TM_CLE,TM_DAL,TM_DEN,TM_DET,TM_GSW,TM_HOU,TM_IND,TM_LAC,TM_LAL,TM_MEM,TM_MIA,TM_MIL,TM_MIN,TM_NOP,TM_NYK,TM_OKC,TM_ORL,TM_PHI,TM_PHO,TM_POR,TM_SAC,TM_SAS,TM_TOR,TM_UTA,TM_WAS,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_TOR,OPP_UTA,OPP_WAS,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Derrick White,30,16,4,4,1,0.0,0.545,0.75,0.649,17.3,4.9,0,0.333,141.0,102.0,14.1,1,1,0,16.0,4.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.545,0.75,0.333,17.3,141.0,102.0,14.1,0.0,0,2021,10,20,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
Derrick White,37,16,2,8,2,2.0,0.385,0.286,0.542,19.9,8.2,2,1.0,112.0,99.0,16.1,2,0,0,16.0,3.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.5,1.0,0.465,0.518,0.6665,18.6,126.5,100.5,15.1,0.968619,1,2021,10,22,4,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
Derrick White,31,14,2,8,4,1.0,0.5,0.2,0.563,19.5,7.1,2,1.0,115.0,109.0,15.3,3,1,0,15.333333333333334,2.6666666666666665,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,2.333333333333333,1.3333333333333333,0.4766666666666667,0.412,0.7776666666666667,18.9,122.66666666666669,103.33333333333331,15.166666666666666,1.254,2,2021,10,23,5,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
Derrick White,32,7,5,6,1,1.0,0.3,0.167,0.35,16.4,-7.0,3,0.0,75.0,108.0,4.8,4,1,1,13.25,3.25,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,2.0,1.75,0.4325,0.35075,0.58325,18.275,110.75,104.5,12.575,1.12381,3,2021,10,26,1,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
Derrick White,33,9,1,7,1,2.0,0.364,0.0,0.393,19.4,-2.8,3,1.0,86.0,110.0,6.7,5,0,0,12.4,2.8,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,1.8,2.0,0.4187999999999999,0.2806,0.6666000000000001,18.5,105.8,105.6,11.4,1.00844,4,2021,10,28,3,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
Derrick White,33,17,2,4,0,1.0,0.5,0.375,0.581,19.6,2.8,1,0.333,108.0,96.0,12.1,6,0,0,13.166666666666666,2.6666666666666665,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.166666666666667,1.5,1.8333333333333333,0.4323333333333334,0.2963333333333333,0.611,18.683333333333334,106.16666666666669,104.0,11.516666666666667,1.09152,5,2021,10,30,5,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
Derrick White,27,13,2,7,0,0.0,0.4,0.6,0.597,17.7,1.4,0,1.0,143.0,136.0,12.3,7,0,0,13.142857142857142,2.571428571428572,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.285714285714286,1.2857142857142858,1.5714285714285714,0.4277142857142857,0.3397142857142857,0.6665714285714286,18.542857142857144,111.42857142857144,108.57142857142856,11.62857142857143,0.949584,6,2021,11,1,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
Derrick White,36,19,3,3,1,1.0,0.6,0.5,0.752,18.5,1.0,3,1.0,125.0,108.0,14.9,8,1,0,13.875,2.625,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.875,1.25,1.75,0.44925,0.35975,0.70825,18.5375,113.125,108.5,12.0375,1.2955,7,2021,11,3,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Derrick White,33,12,10,4,0,1.0,0.286,0.333,0.403,22.0,-3.4,2,1.0,83.0,89.0,8.3,9,0,0,13.666666666666666,3.4444444444444446,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.666666666666667,1.1111111111111112,1.7777777777777777,0.4311111111111111,0.3567777777777777,0.7406666666666667,18.922222222222224,109.77777777777776,106.33333333333331,11.622222222222224,0.951519,8,2021,11,5,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
Derrick White,27,0,3,5,1,1.0,0.0,0.0,0.0,16.0,-13.4,0,0.0,33.0,106.0,-1.3,10,0,1,12.3,3.4,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,1.1,1.6,0.388,0.3211,0.6666000000000001,18.630000000000003,102.1,106.3,10.330000000000002,1.02249,9,2021,11,7,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
