Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,PTS_rolling_avg,TM_ATL,TM_BOS,TM_BRK,TM_CHI,TM_CHO,TM_CLE,TM_DAL,TM_DEN,TM_DET,TM_GSW,TM_HOU,TM_IND,TM_LAC,TM_LAL,TM_MEM,TM_MIA,TM_MIL,TM_MIN,TM_NOP,TM_NYK,TM_OKC,TM_ORL,TM_PHI,TM_PHO,TM_POR,TM_SAC,TM_SAS,TM_TOR,TM_UTA,TM_WAS,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Aaron Gordon,33,22,10,2,1,1.0,0.588,0.0,0.615,24.6,6.3,1,1.0,128.0,121.0,20.4,1,0,0,22.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,2.0,1.0,1.0,0.588,0.0,1.0,24.6,128.0,121.0,20.4,0.0,0,2022,10,19,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
Aaron Gordon,29,10,3,3,0,0.0,0.417,0.0,0.417,21.4,-11.4,3,0.0,84.0,123.0,3.6,2,0,1,16.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,2.5,0.5,2.0,0.5025,0.0,0.5,23.0,106.0,122.0,12.0,0.924512,1,2022,10,21,4,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
Aaron Gordon,28,11,10,2,0,2.0,0.333,0.333,0.439,21.1,-2.9,2,0.5,102.0,111.0,10.1,3,1,0,14.333333333333334,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.666666666666667,2.333333333333333,0.3333333333333333,2.0,0.446,0.111,0.5,22.366666666666664,104.66666666666669,118.33333333333331,11.366666666666664,1.0593,2,2022,10,22,5,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
Aaron Gordon,28,26,6,1,0,0.0,0.75,0.0,0.77,29.6,5.0,1,1.0,144.0,145.0,20.3,4,0,0,17.25,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.25,2.0,0.25,1.75,0.522,0.08325,0.625,24.175,114.5,125.0,13.6,1.00326,3,2022,10,24,0,-0.8660254037844386,0.5000000000000001,0.0,1.0
Aaron Gordon,28,6,9,5,0,2.0,0.25,0.0,0.307,14.6,-1.0,0,0.5,100.0,98.0,8.8,5,1,0,15.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,2.6,0.2,1.4,0.4676,0.0666,0.6,22.26,111.6,119.6,12.64,1.02255,4,2022,10,26,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
Aaron Gordon,21,3,1,0,0,2.0,0.25,0.333,0.307,13.8,-9.2,2,0.0,45.0,104.0,-0.5,6,1,0,13.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.5,2.1666666666666665,0.1666666666666666,1.5,0.4313333333333333,0.111,0.5,20.85,100.5,117.0,10.45,0.919645,5,2022,10,28,4,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
Aaron Gordon,31,18,6,0,0,2.0,0.636,0.75,0.758,17.8,3.6,1,0.5,134.0,123.0,14.1,7,0,0,13.714285714285714,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.428571428571429,1.8571428571428568,0.1428571428571428,1.4285714285714286,0.4605714285714286,0.2022857142857142,0.5,20.414285714285715,105.28571428571428,117.85714285714286,10.971428571428572,1.0173,6,2022,10,30,6,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
Aaron Gordon,36,27,5,3,1,0.0,0.769,0.75,0.888,18.8,13.3,0,0.8,182.0,112.0,26.9,8,0,0,15.375,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,2.0,0.25,1.25,0.499125,0.27075,0.5375,20.2125,114.875,117.125,12.9625,0.96861,7,2022,11,3,3,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419
Aaron Gordon,23,8,6,2,0,0.0,0.667,0.0,0.581,13.6,-2.7,0,0.0,139.0,109.0,8.2,9,1,0,14.555555555555555,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.222222222222222,2.0,0.2222222222222222,1.1111111111111112,0.5177777777777778,0.2406666666666666,0.4777777777777777,19.47777777777777,117.55555555555556,116.22222222222224,12.433333333333332,1.09936,8,2022,11,5,5,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
Aaron Gordon,30,9,5,5,4,1.0,0.6,0.0,0.625,10.0,9.2,0,0.6,153.0,97.0,16.0,10,0,0,14.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.1,2.3,0.6,1.0,0.526,0.2166,0.49,18.53,121.1,114.3,12.79,1.27418,9,2022,11,7,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
