Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,PTS_rolling_avg,TM_ATL,TM_BOS,TM_BRK,TM_CHI,TM_CHO,TM_CLE,TM_DAL,TM_DEN,TM_DET,TM_GSW,TM_HOU,TM_IND,TM_LAC,TM_LAL,TM_MEM,TM_MIA,TM_MIL,TM_MIN,TM_NOP,TM_NYK,TM_OKC,TM_ORL,TM_PHI,TM_PHO,TM_POR,TM_SAC,TM_SAS,TM_TOR,TM_UTA,TM_WAS,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Aaron Gordon,2023-10-24,35,15,7,5,2,1.0,0.636,0.5,0.682,14.1,8.7,0,0.0,155.0,110.0,19.2,1,1,1,15.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,2.0,0.0,0.636,0.5,0.0,14.1,155.0,110.0,19.2,0.0
Aaron Gordon,2023-10-27,30,10,2,3,3,1.0,0.455,0.0,0.437,17.4,-1.8,1,0.0,93.0,100.0,8.5,2,0,0,12.5,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.0,2.5,0.5,0.5455,0.25,0.0,15.75,124.0,105.0,13.85,1.05238
Aaron Gordon,2023-10-29,23,9,3,2,1,3.0,0.571,0.0,0.541,18.2,3.9,1,0.333,113.0,92.0,9.3,3,0,0,11.333333333333334,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.333333333333333,2.0,0.6666666666666666,0.5539999999999999,0.1666666666666666,0.111,16.566666666666666,120.33333333333331,100.66666666666669,12.333333333333334,0.967965
Aaron Gordon,2023-10-30,33,21,7,2,0,0.0,0.833,0.0,0.763,23.4,0.3,3,0.25,122.0,110.0,16.3,4,1,1,13.75,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.75,3.0,1.5,1.25,0.62375,0.125,0.14575,18.275,120.75,103.0,13.325,1.2356
Aaron Gordon,2023-11-01,18,4,2,2,0,1.0,0.667,0.0,0.667,11.3,-6.7,2,0.0,89.0,116.0,2.2,5,0,1,11.8,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,2.8,1.2,1.4,0.6324,0.1,0.1166,16.880000000000003,114.4,105.6,11.1,1.25324
Aaron Gordon,2023-11-03,35,18,8,6,2,1.0,0.471,0.333,0.529,24.2,0.5,4,0.0,109.0,116.0,14.6,6,1,1,12.833333333333334,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.833333333333333,3.333333333333333,1.3333333333333333,1.8333333333333333,0.6055,0.1388333333333333,0.0971666666666666,18.1,113.5,107.33333333333331,11.683333333333332,1.09646
Aaron Gordon,2023-11-04,35,15,12,5,2,1.0,0.444,0.333,0.599,20.4,2.1,3,0.75,122.0,101.0,16.7,7,1,0,13.142857142857142,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.857142857142857,3.571428571428572,1.4285714285714286,2.0,0.5824285714285714,0.1665714285714285,0.1904285714285714,18.428571428571427,114.71428571428572,106.42857142857144,12.4,1.10087
Aaron Gordon,2023-11-06,36,15,12,6,0,1.0,0.636,0.0,0.631,16.1,1.5,2,0.5,136.0,117.0,17.8,8,1,0,13.375,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.625,3.875,1.25,2.0,0.589125,0.14575,0.229125,18.1375,117.375,107.75,13.075,1.26559
Aaron Gordon,2023-11-08,34,14,11,3,3,1.0,0.357,0.5,0.444,23.0,1.8,2,0.75,99.0,103.0,13.7,9,1,0,13.444444444444445,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.111111111111111,3.7777777777777777,1.4444444444444444,2.0,0.5633333333333334,0.1851111111111111,0.287,18.677777777777777,115.33333333333331,107.22222222222224,13.144444444444444,1.09027
Aaron Gordon,2023-11-12,38,16,8,5,0,2.0,0.6,0.5,0.633,16.9,4.1,2,0.5,121.0,112.0,15.1,10,0,0,13.7,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,3.9,1.3,2.0,0.567,0.2166,0.3083,18.5,115.9,107.7,13.34,0.997777
Aaron Gordon,2023-11-14,39,20,5,5,0,0.0,0.667,0.5,0.751,19.7,3.8,3,1.0,128.0,123.0,16.8,11,1,0,14.2,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.9,1.1,2.3,0.5700999999999999,0.2166,0.4083,19.06,113.2,109.0,13.1,1.00804
Aaron Gordon,2023-11-17,39,14,8,2,1,0.0,0.5,0.0,0.457,16.4,-6.0,0,0.0,98.0,113.0,9.4,12,0,0,14.6,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,3.8,0.9,2.2,0.5746,0.2166,0.4083,18.96,113.7,110.3,13.19,1.02948
Aaron Gordon,2023-11-19,32,11,4,5,1,2.0,0.364,0.0,0.403,21.6,-3.0,1,0.5,102.0,129.0,9.8,13,0,0,14.8,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,4.1,0.9,2.2,0.5539,0.2166,0.425,19.3,112.6,114.0,13.24,1.0304
Aaron Gordon,2023-11-20,37,11,9,7,1,0.0,0.364,0.0,0.431,17.4,-2.4,2,0.75,111.0,109.0,12.7,14,0,0,13.8,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,4.6,1.0,2.1,0.5069999999999999,0.2166,0.475,18.7,111.5,113.9,12.88,1.28275
Aaron Gordon,2023-11-22,37,15,10,1,2,0.0,0.438,0.333,0.444,22.0,-6.5,2,0.0,104.0,132.0,11.1,15,0,0,14.9,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,4.5,1.2,2.1,0.4841,0.2499,0.475,19.77,113.0,115.5,13.77,1.00967
Aaron Gordon,2023-11-24,39,2,7,2,0,0.0,0.0,0.0,0.073,15.4,-14.6,1,0.5,33.0,115.0,-3.9,16,0,0,13.3,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,4.1,1.0,1.8,0.437,0.2166,0.525,18.89,105.4,115.4,11.92,0.90491
Aaron Gordon,2023-11-26,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,17,1,1,11.8,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.4,3.6,0.8,1.5,0.3925999999999999,0.1833,0.45,16.85,93.2,105.3,10.25,1.07224
Aaron Gordon,2023-11-27,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,18,0,1,10.3,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,3.0,0.8,1.3,0.329,0.1833,0.4,15.24,79.6,93.6,8.469999999999999,0.900832
Aaron Gordon,2023-11-29,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,19,1,1,8.9,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,2.7,0.5,1.1,0.2933,0.1333,0.325,12.94,69.7,83.3,7.1,1.20069
Aaron Gordon,2023-12-01,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,20,0,1,7.3,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,2.2,0.5,0.9,0.2332999999999999,0.0833,0.275,11.25,57.6,72.1,5.590000000000001,1.11498
Aaron Gordon,2023-12-02,33,17,7,3,0,1.0,0.615,0.333,0.654,17.5,1.4,1,0.0,129.0,121.0,16.2,21,0,1,7.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.5,2.0,0.5,0.7,0.2281,0.0666,0.175,11.03,57.7,71.9,5.529999999999999,1.29223
Aaron Gordon,2023-12-06,31,8,6,2,2,0.0,0.444,0.0,0.444,12.2,-2.2,0,0.0,110.0,115.0,8.5,22,0,1,6.4,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,2.0,0.6,0.7,0.2225,0.0666,0.175,10.61,58.9,72.1,5.44,1.07151
