Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_MIL,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_MEM,OPP_MIA,OPP_MIN,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Giannis Antetokounmpo,2024-10-23,31,25,14,7,0,1.0,0.727,0.0,0.693,30.1,8.0,3,0.563,133.0,101.0,23.3,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,14.0,7.0,0.0,3.0,0.727,0.0,0.563,30.1,133.0,101.0,23.3,0.0
Giannis Antetokounmpo,2024-10-25,35,38,11,5,0,0.0,0.652,0.0,0.632,37.9,6.8,3,0.5,121.0,125.0,28.5,2,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.5,12.5,6.0,0.0,3.0,0.6895,0.0,0.5315,34.0,127.0,113.0,25.9,1.10886
Giannis Antetokounmpo,2024-10-27,33,22,12,7,1,1.0,0.636,0.0,0.694,27.1,9.1,4,0.727,123.0,110.0,21.3,3,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.33333333333333,12.333333333333334,6.333333333333333,0.3333333333333333,3.333333333333333,0.6716666666666667,0.0,0.5966666666666667,31.7,125.66666666666669,112.0,24.366666666666664,1.14483
Giannis Antetokounmpo,2024-10-28,39,30,10,6,0,0.0,0.538,0.0,0.524,38.9,-2.6,7,0.333,91.0,120.0,14.8,4,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.75,11.75,6.25,0.25,4.25,0.63825,0.0,0.5307499999999999,33.5,117.0,114.0,21.975,1.1473
Giannis Antetokounmpo,2024-10-31,34,37,11,4,1,1.0,0.773,0.0,0.725,33.2,20.1,1,0.375,138.0,115.0,32.0,5,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.4,11.6,5.8,0.4,3.6,0.6652,0.0,0.4995999999999999,33.44,121.2,114.2,23.98,1.14616
Giannis Antetokounmpo,2024-11-02,39,34,16,9,1,0.0,0.556,0.0,0.565,34.2,14.6,0,0.571,139.0,117.0,32.4,6,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,12.333333333333334,6.333333333333333,0.5,3.0,0.647,0.0,0.5115,33.56666666666667,124.16666666666669,114.66666666666669,25.383333333333336,1.03367
Giannis Antetokounmpo,2024-11-04,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.571428571428573,10.571428571428571,5.428571428571429,0.4285714285714285,2.571428571428572,0.5545714285714286,0.0,0.4384285714285714,28.77142857142857,106.42857142857144,98.28571428571428,21.75714285714286,1.16345
Giannis Antetokounmpo,2024-11-07,30,31,16,2,1,1.0,0.524,0.0,0.59,44.5,0.7,4,0.75,119.0,99.0,23.8,8,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27.125,11.25,5.0,0.5,2.75,0.5507500000000001,0.0,0.477375,30.7375,108.0,98.375,22.0125,1.19929
Giannis Antetokounmpo,2024-11-08,32,24,12,2,0,2.0,0.524,0.0,0.508,34.9,5.6,1,0.333,105.0,118.0,17.9,9,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.77777777777778,11.333333333333334,4.666666666666667,0.4444444444444444,2.555555555555556,0.5477777777777777,0.0,0.4613333333333334,31.200000000000003,107.66666666666669,100.55555555555556,21.55555555555556,1.19462
Giannis Antetokounmpo,2024-11-10,39,43,13,5,0,2.0,0.621,0.5,0.644,40.9,12.4,1,0.6,129.0,115.0,34.9,10,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.4,11.5,4.7,0.4,2.4,0.5551,0.05,0.4751999999999999,32.17,109.8,102.0,22.89,0.962295
